,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.62,0.71,0.63,0.22,0.8,0.66,0.51,0.91,0.78,0.83,0.49,0.7,0.8,0.93,0.91
encog-cs.csv,0.93,0.85,0.94,1.0,0.95,0.99,0.91,1.0,0.48,0.89,1.0,0.97,0.67,0.91,0.76
extprosys.csv,0.64,1.02,0.43,0.66,0.86,0.79,0.83,0.96,0.82,0.99,0.51,0.64,0.9,0.69,0.78
ibatisdb.csv,1.01,0.84,0.75,0.79,0.7,0.76,0.8,0.8,0.67,0.69,0.49,0.99,0.92,0.27,0.6
intact.csv,1.12,0.89,0.76,0.55,0.64,0.51,0.82,0.68,0.56,0.93,0.56,0.74,0.64,0.63,0.74
japano.csv,1.29,1.0,0.77,0.93,0.76,0.85,1.0,0.35,0.94,0.86,0.97,0.9,0.93,0.86,0.67
lockss.csv,1.02,0.73,0.98,0.9,0.87,1.0,0.82,0.78,0.91,0.5,0.58,0.96,0.76,0.69,0.9
ofbiz.csv,1.22,0.7,0.92,0.7,0.76,0.79,0.67,0.67,0.58,0.91,0.67,0.76,0.38,0.79,0.79
officefloor.csv,0.39,0.78,0.77,0.61,0.84,0.66,0.97,0.84,0.72,0.81,0.46,0.96,0.76,0.61,0.8
opennms.csv,0.45,0.98,0.93,0.88,0.45,0.87,0.89,0.94,0.85,0.57,0.87,0.61,0.75,0.95,1.0
rohxel.csv,0.38,0.69,0.67,0.85,0.87,0.78,0.36,0.7,0.71,0.78,0.91,0.66,0.95,0.96,1.0
roolo.csv,1.27,0.7,0.84,0.77,0.83,0.85,0.77,0.78,0.78,0.73,0.91,0.39,0.79,1.01,0.8
sevenupdate.csv,1.0,0.27,1.0,1.0,0.93,1.0,1.0,1.0,0.89,0.78,0.99,1.0,0.91,1.0,1.0
web-cat.csv,1.14,0.76,0.63,0.81,0.75,0.62,0.86,0.71,0.72,0.79,0.79,0.72,0.54,0.41,0.35
