,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv,trinitycore.csv,zemljanka.csv,rockbox.csv
adobe-source.csv,0.25,0.28,0.16,0.33,0.41,0.13,0.18,0.36,0.38,0.24,0.4,0.18,0.17,0.16,0.2,0.12,0.45,0.16
atlc.csv,0.37,0.23,0.34,0.32,0.27,0.42,0.29,0.31,0.39,0.31,0.39,0.33,0.35,0.38,0.29,0.29,0.36,0.37
ipfilter.csv,0.39,0.32,0.35,0.32,0.39,0.4,0.29,0.27,0.39,0.29,0.38,0.37,0.38,0.4,0.31,0.39,0.4,0.41
liferea.csv,0.24,0.15,0.19,0.16,0.27,0.26,0.19,0.14,0.14,0.21,0.2,0.17,0.21,0.15,0.17,0.23,0.14,0.35
miranda-icq.csv,0.33,0.15,0.18,0.19,0.16,0.26,0.27,0.16,0.2,0.2,0.39,0.28,0.24,0.14,0.31,0.12,0.43,0.41
opensim4opencog.csv,0.39,0.35,0.38,0.33,0.41,0.3,0.3,0.4,0.38,0.33,0.4,0.39,0.39,0.41,0.37,0.42,0.45,0.45
pclasses.csv,0.12,0.21,0.38,0.33,0.41,0.4,0.3,0.23,0.39,0.33,0.4,0.39,0.27,0.37,0.37,0.16,0.45,0.18
pfaedit.csv,0.15,0.16,0.17,0.26,0.41,0.17,0.2,0.17,0.12,0.24,0.2,0.39,0.17,0.19,0.34,0.19,0.41,0.14
psrchive.csv,0.24,0.29,0.34,0.25,0.34,0.26,0.22,0.27,0.39,0.23,0.29,0.32,0.15,0.36,0.23,0.36,0.36,0.45
rockbox.csv,0.24,0.21,0.12,0.28,0.41,0.13,0.18,0.38,0.12,0.17,0.38,0.31,0.14,0.14,0.35,0.14,0.35,0.14
theresa.csv,0.37,0.15,0.35,0.32,0.4,0.42,0.3,0.4,0.38,0.25,0.39,0.38,0.2,0.38,0.29,0.4,0.15,0.45
thrust.csv,0.37,0.35,0.38,0.33,0.41,0.42,0.29,0.4,0.36,0.33,0.4,0.39,0.38,0.39,0.35,0.41,0.45,0.43
tktoolkit.csv,0.34,0.33,0.38,0.32,0.41,0.42,0.3,0.4,0.28,0.33,0.4,0.39,0.38,0.41,0.37,0.42,0.45,0.43
trinitycore.csv,0.1,0.15,0.3,0.33,0.41,0.13,0.28,0.39,0.38,0.32,0.4,0.39,0.28,0.4,0.15,0.22,0.45,0.45
tzod.csv,0.18,0.15,0.17,0.18,0.11,0.3,0.3,0.35,0.14,0.17,0.33,0.18,0.18,0.15,0.17,0.16,0.21,0.45
yaprm.csv,0.3,0.21,0.22,0.33,0.41,0.19,0.3,0.22,0.31,0.23,0.4,0.39,0.34,0.28,0.37,0.21,0.45,0.35
zemljanka.csv,0.39,0.35,0.38,0.33,0.4,0.42,0.29,0.4,0.39,0.33,0.39,0.39,0.38,0.42,0.35,0.42,0.44,0.35
