,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.86,0.0,0.22,1.0,0.76,0.44,0.68,0.46,0.37,0.9,0.5,0.92,0.23,0.91,0.31,0.57
betoffice.csv,0.75,0.85,0.0,0.21,0.86,0.33,0.56,1.0,0.18,0.93,0.44,0.89,0.27,0.6,0.27,0.42
bnetd.csv,0.75,0.89,0.24,0.45,0.96,0.35,0.53,0.56,0.35,0.88,1.0,0.93,0.38,0.77,0.44,0.76
elvishrayrenderer.csv,0.79,0.91,0.47,0.48,0.96,0.35,0.79,0.42,0.37,0.88,0.91,0.9,0.45,0.65,0.22,1.0
emisview.csv,0.85,0.91,0.43,0.5,1.0,0.96,0.58,0.55,0.46,0.92,0.74,0.89,0.33,0.6,0.61,0.73
findbugs.csv,0.81,0.82,0.17,0.33,0.79,0.38,0.72,0.38,0.41,0.94,0.46,1.0,1.0,0.88,0.18,0.7
hazelcast.csv,0.79,0.82,0.38,0.33,1.0,0.3,0.62,0.51,0.28,0.92,0.53,0.92,0.35,0.72,0.37,0.65
jitterbit.csv,0.72,0.72,0.18,0.3,0.92,0.33,0.77,0.27,0.99,0.92,0.86,0.86,0.56,0.83,0.33,0.7
jppf-project.csv,0.81,0.82,0.31,0.34,0.84,0.31,0.66,0.49,0.17,0.92,0.45,0.99,0.38,0.76,0.35,0.67
megasquirtavr.csv,0.81,0.9,1.0,0.47,0.95,0.34,0.77,0.49,0.36,0.84,0.76,0.91,0.37,0.69,0.43,0.74
stajistics.csv,0.83,0.92,0.3,0.38,1.0,0.44,0.4,0.42,0.19,0.93,0.7,0.93,0.31,0.56,1.0,0.62
trackit.csv,0.78,0.82,0.75,0.33,0.91,0.25,1.0,0.38,0.18,0.88,0.44,0.97,0.38,0.76,0.27,0.67
tweetsharp.csv,0.71,0.94,0.39,0.34,1.0,0.55,0.67,0.52,0.32,0.92,0.55,0.89,0.39,0.98,0.39,0.63
wxlua.csv,0.77,0.81,0.2,0.33,0.86,0.33,0.65,0.5,0.26,1.0,0.5,0.93,0.39,0.72,0.31,0.64
x4x.csv,1.0,0.86,0.55,0.44,0.89,0.34,0.68,0.53,0.3,0.86,0.48,0.91,0.4,0.72,0.35,0.6
xharbour.csv,0.77,1.0,0.26,0.38,0.82,0.37,0.68,0.49,0.27,0.91,0.53,0.93,0.41,0.72,0.32,0.67
