,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.47,0.0,0.53,1.0,0.28,0.65,0.48,0.31,0.58,0.35,0.12,0.55,0.13,0.28,0.54,0.14
betoffice.csv,0.09,0.24,0.0,0.17,0.39,0.05,0.14,0.97,0.21,0.66,0.34,0.21,0.17,0.24,0.27,0.18
bnetd.csv,0.44,0.61,0.47,0.64,0.5,0.57,0.27,0.37,0.61,0.41,0.93,0.58,0.52,0.56,0.66,0.64
elvishrayrenderer.csv,0.54,0.79,0.4,0.65,0.54,0.63,0.42,0.21,0.62,0.34,0.3,0.35,0.61,0.29,0.23,0.95
emisview.csv,0.3,0.27,0.35,0.61,0.18,1.0,0.31,0.16,0.51,0.31,0.41,0.42,0.39,0.31,0.61,0.5
findbugs.csv,0.51,0.54,0.44,0.31,0.3,0.26,0.48,0.23,0.61,0.38,0.46,0.19,0.97,0.38,0.26,0.44
hazelcast.csv,0.48,0.0,0.58,0.09,0.97,0.0,0.45,0.51,0.43,0.0,0.0,0.0,0.26,0.4,0.67,0.0
jitterbit.csv,0.34,0.29,0.2,0.31,0.48,0.53,0.28,0.09,0.96,0.58,0.51,0.23,0.41,0.4,0.24,0.44
jppf-project.csv,0.59,0.0,0.24,0.27,0.34,0.3,0.48,0.51,0.25,0.0,0.42,0.97,0.37,0.42,0.63,0.24
megasquirtavr.csv,0.64,0.65,0.83,0.64,0.77,0.53,0.61,0.43,0.64,0.28,0.53,0.49,0.54,0.44,0.76,0.69
stajistics.csv,0.28,0.48,0.34,0.31,0.51,0.65,0.12,0.28,0.21,0.19,0.21,0.54,0.32,0.24,0.92,0.45
trackit.csv,0.5,0.52,0.18,0.36,0.57,0.2,1.0,0.21,0.38,0.27,0.12,0.4,0.52,0.52,0.27,0.57
tweetsharp.csv,0.38,0.72,0.49,0.54,0.34,0.3,0.33,0.57,0.6,0.54,0.59,0.44,0.29,0.95,0.41,0.49
wxlua.csv,0.0,0.2,0.5,0.17,0.36,0.55,0.17,0.0,0.13,1.0,0.0,0.4,0.17,0.0,0.24,0.46
x4x.csv,0.96,0.67,0.59,0.57,0.58,0.62,0.62,0.52,0.49,0.17,0.43,0.5,0.58,0.45,0.59,0.47
xharbour.csv,0.29,1.0,0.61,0.66,0.0,0.57,0.57,0.45,0.29,0.37,0.24,0.64,0.47,0.26,0.35,0.49
