,ltp.csv,konversation.csv,moviesandbox.csv,sepgsql.csv,migen.csv,mcmc-jags.csv,cataclysmos.csv,ildjit.csv,opengs.csv,tcl.csv,phonon-vlc-mplayer.csv,openxava.csv,unflobtactical.csv,micomt.csv,nebuladevice.csv,passwordsafe.csv,exl.csv,crux-framework.csv
crux-framework.csv,0.51,0.29,0.4,0.37,0.28,0.17,0.08,0.77,0.3,0.75,0.24,0.01,0.04,0.44,0.25,0.25,0.0,0.1
exl.csv,0.36,0.42,0.69,0.54,0.74,0.43,0.44,0.38,0.58,0.65,0.42,0.27,0.42,0.58,0.58,0.47,0.08,0.79
ildjit.csv,0.28,0.11,0.17,0.2,0.42,0.62,0.1,0.31,0.45,0.1,0.3,0.45,0.54,0.05,0.48,0.12,0.08,0.48
konversation.csv,0.45,0.13,0.14,0.11,0.42,0.38,0.62,0.33,0.17,0.28,0.22,0.81,0.23,0.41,0.39,0.2,0.31,0.39
ltp.csv,0.46,0.91,0.43,0.53,0.37,0.4,0.88,0.59,0.68,0.68,0.63,0.43,0.65,0.22,0.65,0.85,0.85,0.69
mcmc-jags.csv,0.72,0.46,0.66,0.72,0.58,0.14,0.56,0.81,0.62,0.45,0.51,1.0,0.54,0.36,0.68,0.34,0.54,0.91
micomt.csv,0.43,0.56,0.69,0.25,0.67,0.24,0.79,0.54,0.86,0.18,0.47,0.86,0.58,0.19,0.55,0.48,0.85,0.98
migen.csv,0.35,0.21,0.23,0.51,0.35,0.02,0.12,0.25,0.19,0.12,0.19,0.99,0.19,0.41,0.27,0.09,0.46,0.55
moviesandbox.csv,0.06,0.43,0.46,0.08,0.33,0.02,0.21,0.24,0.43,0.05,0.24,0.78,0.38,0.2,0.31,0.15,0.62,0.58
nebuladevice.csv,0.0,0.57,0.11,0.0,0.63,0.6,0.46,0.08,0.26,0.72,0.62,0.52,0.19,0.44,0.25,0.58,0.15,0.73
opengs.csv,0.04,0.12,0.54,0.76,0.33,0.05,0.4,0.32,0.27,0.18,0.1,0.64,0.19,0.12,0.37,0.08,0.15,0.31
openxava.csv,0.42,0.29,0.37,0.35,0.58,0.52,0.37,0.29,0.34,0.68,0.29,0.34,0.38,0.54,0.45,0.19,0.0,0.32
passwordsafe.csv,0.95,0.29,0.57,0.84,0.35,0.07,0.58,0.73,0.43,0.18,0.29,0.98,0.38,0.25,0.69,0.22,0.69,0.83
phonon-vlc-mplayer.csv,1.0,0.28,0.34,1.0,0.37,0.0,0.38,0.6,0.31,0.08,0.18,0.97,0.23,0.1,0.34,0.1,0.46,0.5
sepgsql.csv,0.42,0.26,0.49,0.33,0.33,0.14,0.13,0.47,0.66,0.1,0.14,0.61,0.19,0.34,0.07,0.14,0.38,0.57
tcl.csv,0.57,0.59,0.89,0.0,0.74,1.0,0.77,0.55,0.81,0.38,0.78,0.88,0.77,0.02,0.77,0.78,0.69,0.89
unflobtactical.csv,0.05,0.4,0.57,0.06,0.53,0.14,0.46,0.21,0.91,0.12,0.26,0.87,0.15,0.25,0.41,0.27,0.46,0.95
