,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,mevenide.csv
alembik.csv,1.0,0.62,0.0,1.0,0.0,0.33
arsenal-1.csv,0.82,0.42,1.0,0.5,0.34,0.3
barracudamvc.csv,1.0,0.43,0.47,0.47,0.29,0.22
mevenide.csv,0.79,0.42,0.53,0.6,0.37,1.0
mumble.csv,0.87,0.55,0.6,0.71,1.0,0.37
openintents.csv,0.77,1.0,0.5,0.45,0.28,0.22
