,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv,fulguro.csv
codepurge.csv,0.41,0.35,0.28,0.45,0.52,0.6,0.05,0.56,0.93,0.62,0.55,0.12,0.27
ctrlr.csv,0.35,0.0,0.1,0.29,0.29,0.06,0.76,0.17,0.61,0.08,0.21,0.47,0.45
dvt.csv,0.89,0.98,0.35,0.74,0.71,0.38,0.81,0.83,0.99,0.67,0.55,0.44,0.27
flylinkdc.csv,0.73,0.84,0.81,0.83,0.38,0.5,0.57,0.61,0.02,0.54,0.45,0.53,0.91
free-evolution.csv,1.0,1.0,1.0,0.5,0.76,0.71,0.62,0.67,0.99,0.75,0.61,0.72,0.73
fulguro.csv,0.0,0.01,0.62,0.0,0.0,0.6,0.19,0.83,0.0,0.71,0.73,0.91,0.64
fw4spl.csv,0.54,0.34,0.27,0.17,0.24,0.58,0.43,0.61,0.06,0.71,0.55,0.34,0.55
ipfire-wall.csv,0.43,0.5,0.39,0.26,0.05,0.29,0.19,0.78,0.0,0.21,0.15,0.44,0.45
ldview.csv,0.89,0.96,0.58,0.67,0.81,0.88,0.14,1.0,0.79,0.17,0.67,0.75,1.0
nuttx.csv,0.59,0.03,0.7,0.52,0.76,0.35,0.48,0.28,0.66,0.79,0.76,0.59,0.27
uclmda.csv,0.19,0.0,0.17,0.12,0.38,0.31,0.24,0.17,0.99,0.29,0.27,0.25,0.09
vdsf.csv,0.65,0.4,0.78,0.74,0.62,0.31,0.57,1.0,0.15,0.46,0.73,0.62,0.64
xcf.csv,0.76,0.64,0.47,0.5,0.57,0.5,0.57,1.0,0.21,0.17,0.24,0.78,0.82
