,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.93,0.99,0.9,0.88,0.86,0.64,0.95,0.88,0.97,0.86,0.75,0.0,0.89
emono.csv,0.58,0.52,0.75,0.46,0.61,0.41,0.58,0.42,0.54,0.63,0.55,0.48,0.54
freedom-erp.csv,0.75,0.98,0.75,0.0,0.5,0.5,0.0,0.4,0.86,0.67,0.63,0.5,0.95
haggle.csv,0.81,0.98,0.94,0.51,0.55,0.0,0.43,0.5,0.78,0.91,0.64,0.45,0.77
jbpm.csv,0.9,0.98,0.67,0.8,0.0,0.67,0.94,0.0,0.91,0.75,0.0,0.0,0.0
jgossipforum.csv,0.85,0.96,0.8,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.67,0.0
joustsim.csv,0.6,0.98,0.61,0.54,0.55,0.88,0.5,0.52,0.53,0.82,0.47,0.41,0.44
log4net.csv,0.0,0.75,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.7,0.98,0.76,0.8,0.68,0.88,0.95,0.75,0.0,0.89,0.88,0.79,0.88
mediate.csv,0.42,0.45,0.54,0.45,0.52,0.45,0.49,0.31,0.41,0.46,0.44,0.39,0.55
pustefix.csv,0.82,0.98,0.79,0.74,0.93,0.92,0.78,0.57,0.61,0.67,0.83,0.67,0.92
synecdoche.csv,0.59,0.69,0.64,0.6,0.72,0.33,0.71,0.72,0.89,0.49,0.85,0.67,0.64
tmva.csv,0.45,0.43,0.49,0.6,0.51,0.36,0.52,0.31,0.51,0.5,0.46,0.53,0.48
