,id,count_recall,count_precision,count_pf,cdom_score,bellwether
57,2,1,2,2,1,mclient-mume.csv
52,3,5,1,1,8,panda3d.csv
50,4,4,4,5,11,openefm.csv
58,5,1,1,2,1,matrex.csv
24,6,1,5,8,12,neodatis-odb.csv
19,7,1,4,11,11,wsmt.csv
28,8,2,3,10,11,sblim.csv
17,9,1,4,7,7,forester-atv.csv
18,11,1,0,1,0,atunes.csv
53,12,2,1,2,3,fluent-nhibernate.csv
59,14,2,3,2,4,amanda.csv
51,15,2,1,1,2,unflobtactical.csv
21,16,1,1,3,2,jnode.csv
26,17,3,3,3,5,playerstage.csv
16,18,3,7,12,13,fritzing.csv
27,19,3,2,2,3,multitude.csv
15,20,1,4,11,11,openmeetings.csv
29,21,0,5,10,9,jfreereport.csv
60,22,4,5,6,11,les-indemodables.csv
49,23,2,5,20,18,zealos.csv
25,28,2,1,4,4,h2database.csv
20,29,4,3,7,9,geogebra.csv
39,30,1,1,3,2,exordium.csv
34,31,3,6,13,15,taverna.csv
6,32,1,8,18,17,mediaportal.csv
14,33,1,3,7,8,ondex.csv
7,35,1,6,12,12,quark.csv
33,36,4,3,5,9,ftm.csv
40,37,4,5,8,12,ktc.csv
32,38,1,11,19,19,cornerstone.csv
41,39,3,6,10,10,sepgsql.csv
55,40,3,3,8,11,k3d.csv
46,41,4,3,6,9,open-ms.csv
22,42,4,2,5,7,mumble.csv
31,43,2,6,13,12,etics.csv
30,44,3,4,5,6,genoviz.csv
23,45,7,3,6,13,n2cms.csv
45,46,2,4,6,9,awemud.csv
56,47,5,1,6,7,acdk.csv
47,48,1,2,4,5,zoolib.csv
54,49,1,2,7,6,kftpgrabber.csv
3,50,1,7,14,14,biodwh.csv
10,51,3,12,14,18,jstock.csv
38,53,1,1,1,0,xcf.csv
37,54,3,1,6,8,powerfolder-.csv
42,55,1,6,13,13,tzod.csv
9,56,3,2,1,2,rectracker.csv
5,57,3,3,16,18,gtad.csv
11,58,2,3,6,10,zact.csv
1,59,1,0,2,1,jrdf.csv
13,60,4,6,13,17,rohxel.csv
0,61,5,3,3,9,chaosrts.csv
36,62,1,0,1,0,silvertree.csv
43,63,2,5,19,19,aubit4gl.csv
44,64,7,2,4,9,stajistics.csv
35,65,1,4,7,6,mecat.csv
2,66,2,4,12,13,brlcad.csv
12,67,1,7,9,10,alembik.csv
4,68,7,9,9,19,zildo.csv
8,69,4,8,6,13,olex2.csv
48,70,7,1,1,5,crisscross.csv
