,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.54,0.67,0.43,0.0,0.75,0.96,0.06,0.89,0.0,0.33,0.36,0.38,0.82
bibletime.csv,0.85,0.62,0.69,0.52,0.8,0.68,0.51,0.47,0.46,0.78,0.69,0.29,0.68
boost.csv,0.77,0.54,0.69,0.76,0.3,0.51,0.7,0.7,0.46,0.83,0.78,0.62,0.67
codepurge.csv,0.46,0.58,0.34,0.81,0.5,0.6,0.35,0.26,0.63,0.53,0.42,0.67,0.29
etics.csv,0.77,0.33,0.51,0.64,0.15,0.62,0.49,0.29,0.54,0.67,0.17,0.29,0.58
gusanos.csv,0.69,0.46,0.35,0.83,0.4,0.96,0.62,0.68,0.84,0.17,0.67,0.75,0.48
kvs.csv,0.54,0.32,0.12,0.26,0.75,0.34,0.08,0.44,0.31,0.39,0.58,0.04,0.23
mcore3d.csv,0.0,0.47,0.73,0.69,0.75,0.62,0.77,0.21,0.46,0.72,0.47,0.58,0.48
modellus.csv,0.46,0.35,0.55,0.83,0.1,0.55,0.77,0.61,0.66,0.31,0.47,0.75,0.71
monetdb.csv,0.08,0.33,0.66,0.29,0.0,0.79,0.58,0.3,0.46,0.39,0.31,0.62,0.11
projecteqemu.csv,0.69,0.35,0.4,0.9,0.1,0.57,0.35,0.29,0.4,0.75,0.75,0.33,0.59
pydev.csv,0.69,0.52,0.52,0.55,0.85,0.7,0.47,0.26,0.27,0.75,0.67,0.46,0.65
xbplayer.csv,0.31,0.44,0.4,0.71,0.15,0.51,0.48,0.65,0.46,0.64,0.75,0.58,0.55
