,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.52,0.5,0.64,1.0,0.83,0.78,0.94,0.77,1.0,0.67,0.68,0.75,0.53
bibletime.csv,0.82,0.56,0.67,0.56,0.66,0.59,0.55,0.63,0.68,0.6,0.63,0.73,0.38
boost.csv,0.47,0.56,0.64,0.35,0.78,0.56,0.44,0.45,0.56,0.64,0.66,0.52,0.44
codepurge.csv,0.56,0.62,0.72,0.63,0.65,0.62,0.67,0.76,0.49,0.68,0.62,0.4,0.83
etics.csv,0.3,0.68,0.61,0.47,0.85,0.49,0.52,0.72,0.51,0.43,0.85,0.72,0.45
gusanos.csv,0.51,0.6,0.72,0.66,0.63,0.73,0.57,0.75,0.29,0.84,0.59,0.6,0.63
kvs.csv,0.52,0.73,0.89,0.83,0.3,0.74,0.93,0.65,0.77,0.65,0.57,0.96,0.85
mcore3d.csv,1.0,0.58,0.53,0.51,0.74,0.51,0.86,0.79,0.56,0.62,0.56,0.52,0.59
modellus.csv,0.55,0.67,0.57,0.56,0.9,0.5,0.31,0.58,0.54,0.74,0.65,0.74,0.46
monetdb.csv,0.92,0.69,0.6,0.72,1.01,0.36,0.5,0.77,0.55,0.7,0.87,0.6,0.9
projecteqemu.csv,0.45,0.66,0.66,0.68,0.9,0.52,0.66,0.73,0.63,0.38,0.89,0.71,0.54
pydev.csv,0.4,0.56,0.54,0.52,0.67,0.53,0.6,0.75,0.74,0.65,0.43,0.59,0.5
xbplayer.csv,0.7,0.61,0.64,0.4,0.85,0.5,0.55,0.57,0.55,0.48,0.7,0.55,0.54
