,mpqc.csv,iaml.csv,jrdf.csv,tigermud.csv
iaml.csv,0.51,0.56,0.59,0.64
jrdf.csv,0.86,0.5,0.57,0.8
mpqc.csv,0.98,0.96,0.95,0.69
tigermud.csv,0.69,0.51,0.44,0.58
