,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.9,0.54,0.93,0.53,0.5,0.53,0.69,0.94,0.52,0.6,0.43,0.35,0.66,0.55,0.77
calcubetimer.csv,0.35,0.75,0.26,0.93,0.34,0.5,0.64,0.43,0.8,0.98,0.37,0.67,0.51,0.36,0.54
chaosrts.csv,0.65,0.5,0.26,0.5,0.38,0.5,0.4,0.45,0.37,0.46,0.77,0.71,0.48,0.3,0.66
emono.csv,0.36,0.69,0.98,0.45,0.46,0.54,0.35,0.44,0.32,0.45,0.51,0.34,0.42,0.33,0.51
freelords.csv,0.31,0.41,0.26,0.44,0.34,0.51,0.28,0.44,0.3,0.39,0.35,0.55,0.39,0.3,0.46
jmonkeyengine.csv,0.79,0.44,0.8,0.59,0.62,0.0,0.34,0.86,0.86,0.36,0.61,0.54,0.72,0.35,0.46
jython.csv,0.42,0.86,0.98,0.59,0.58,0.94,0.8,0.52,0.42,0.97,0.91,0.52,0.41,0.88,0.82
mclient-mume.csv,0.88,0.5,0.94,0.91,0.92,0.0,0.34,0.8,0.62,0.41,0.64,0.89,0.72,0.77,0.83
papertoolkit.csv,0.71,0.0,0.96,0.94,0.88,0.92,0.4,0.87,0.8,0.76,0.73,0.92,0.96,0.89,0.63
primefaces.csv,0.34,0.38,0.26,0.71,0.35,0.5,0.33,0.56,0.56,0.39,0.38,0.49,0.58,0.31,0.43
st-filteredstatistics.csv,0.31,0.39,0.26,0.41,0.38,0.5,0.32,0.47,0.36,0.41,0.38,0.32,0.38,0.33,0.43
toped.csv,0.31,0.66,0.26,0.67,0.48,0.68,0.41,0.42,0.31,0.58,0.45,0.39,0.41,0.32,0.58
triplea.csv,0.52,0.46,0.95,0.63,0.48,0.3,0.41,0.41,0.32,0.46,0.52,0.76,0.4,0.37,0.57
web-cat.csv,0.33,0.44,0.26,0.54,0.39,0.44,0.33,0.44,0.4,0.39,0.36,0.38,0.39,0.48,0.47
