,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.4,0.68,0.37,0.71,0.0,0.58,0.94,0.83,0.74,1.0,0.06,0.56,0.88,0.34,0.77
calcubetimer.csv,0.65,0.0,0.13,0.79,0.29,0.32,0.82,1.0,1.0,1.0,0.05,0.47,0.85,0.4,0.61
chaosrts.csv,0.59,0.5,0.11,0.85,0.29,0.32,0.81,0.93,0.83,1.0,0.08,0.76,0.97,0.43,0.58
emono.csv,0.67,0.44,0.39,0.72,0.26,0.3,0.94,0.93,0.72,0.99,0.03,0.57,0.87,0.39,0.76
freelords.csv,0.64,0.67,0.12,0.86,0.31,0.33,0.89,1.0,0.75,1.0,0.04,0.65,0.91,0.39,0.66
jmonkeyengine.csv,0.5,0.68,0.6,0.67,0.52,0.0,0.88,0.57,0.71,0.99,0.11,0.69,0.87,0.46,0.64
jython.csv,0.71,0.45,0.44,0.79,0.26,0.38,0.9,1.0,0.79,1.0,0.0,0.56,0.87,0.25,0.8
mclient-mume.csv,0.62,0.87,0.44,0.82,0.42,0.0,0.92,1.0,0.81,0.99,0.05,0.67,0.93,0.38,0.6
papertoolkit.csv,0.71,1.0,0.48,0.72,0.25,0.54,0.96,0.93,0.6,1.0,0.2,0.69,0.75,0.11,0.77
primefaces.csv,0.69,0.52,0.1,0.71,0.3,0.32,0.85,0.96,0.78,1.0,0.04,0.78,0.89,0.39,0.65
st-filteredstatistics.csv,0.6,0.53,0.13,0.76,0.26,0.32,0.87,0.94,0.94,0.99,0.04,0.6,0.88,0.37,0.66
toped.csv,0.65,0.48,0.12,0.76,0.28,0.29,1.0,0.93,0.76,0.99,0.04,0.61,0.88,0.38,0.72
triplea.csv,0.83,0.73,0.53,0.78,0.44,0.4,0.88,0.93,0.8,1.0,0.07,0.71,0.87,0.44,0.83
web-cat.csv,0.61,0.64,0.08,0.71,0.28,0.34,0.87,0.93,0.8,0.99,0.05,0.62,0.89,0.65,0.69
