,extprosys.csv,codeblocks.csv,qcad2.csv,fluidium.csv,haphazard.csv,silvertree.csv
codeblocks.csv,0.32,0.99,0.42,0.45,0.12,0.48
extprosys.csv,0.98,0.74,0.37,0.34,0.22,0.35
fluidium.csv,0.24,0.81,0.43,1.0,0.22,0.36
haphazard.csv,1.0,0.62,0.0,0.56,1.0,0.14
qcad2.csv,0.37,0.67,1.0,0.31,0.21,0.67
silvertree.csv,0.26,0.8,0.36,0.45,0.22,0.96
