,extprosys.csv,codeblocks.csv,qcad2.csv,fluidium.csv,haphazard.csv,silvertree.csv
codeblocks.csv,0.58,0.44,0.48,0.45,0.69,0.43
extprosys.csv,0.78,0.64,0.49,0.66,0.47,0.57
fluidium.csv,0.83,0.64,0.7,0.67,0.63,0.86
haphazard.csv,0.0,0.98,0.5,0.89,0.92,0.86
qcad2.csv,0.95,0.82,0.62,0.85,0.54,0.89
silvertree.csv,0.97,0.61,0.66,0.64,0.89,0.62
