,extprosys.csv,codeblocks.csv,qcad2.csv,fluidium.csv,haphazard.csv,silvertree.csv
codeblocks.csv,0.6,0.99,0.67,0.81,0.15,0.84
extprosys.csv,0.91,0.55,0.73,0.52,0.85,0.52
fluidium.csv,0.32,0.29,0.42,1.0,0.46,0.2
haphazard.csv,0.02,0.25,0.0,0.24,0.92,0.04
qcad2.csv,0.13,0.28,0.94,0.19,0.62,0.24
silvertree.csv,0.19,0.34,0.44,0.24,0.15,1.0
