,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.17,0.74,0.39,0.7,0.7,0.28,0.66,0.28,0.45,0.54,0.41,0.06,0.78,0.56,0.69
grafx2.csv,0.18,0.68,0.3,0.54,0.78,0.28,0.53,0.33,0.46,0.15,0.58,0.04,0.73,0.51,0.65
keyczar.csv,0.06,0.22,0.15,0.16,0.17,0.03,0.34,0.0,0.14,0.27,0.29,0.0,0.0,0.79,0.31
lmms.csv,0.19,0.7,0.5,0.69,0.76,0.31,0.65,0.25,0.44,0.6,0.43,0.04,0.54,0.81,0.75
lufa-lib.csv,0.16,0.61,0.17,0.54,0.58,0.28,0.55,0.19,0.44,0.64,0.3,0.0,0.71,0.7,0.59
netatalk.csv,0.19,0.72,0.21,0.59,0.64,0.23,0.49,0.18,0.5,0.52,0.53,0.06,0.75,0.71,0.73
openmeetings.csv,0.25,0.64,0.61,0.62,0.74,0.31,0.54,0.44,0.46,0.42,0.49,0.05,0.71,0.34,0.71
openxava.csv,0.21,0.41,0.35,0.6,0.35,0.33,0.58,0.32,0.41,0.35,0.59,0.15,0.33,0.63,0.67
pgui.csv,0.0,0.0,0.4,0.67,0.7,0.0,0.0,0.31,0.48,0.59,0.42,0.0,0.89,0.86,0.69
qpe.csv,0.28,0.53,0.47,0.78,0.6,0.32,0.32,0.27,0.48,0.56,0.55,0.03,0.44,0.38,0.55
quickfast.csv,0.15,0.73,0.29,0.65,0.68,0.3,0.63,0.23,0.43,0.56,0.43,0.05,0.81,0.83,0.8
rsyslog.csv,0.2,0.73,0.27,0.79,0.68,0.23,0.38,0.19,0.51,0.46,0.38,0.06,0.73,0.51,0.62
sylpheed-claws.csv,0.15,0.74,0.25,0.68,0.69,0.3,0.69,0.28,0.46,0.6,0.42,0.06,0.91,0.86,0.75
xqilla.csv,0.09,0.35,0.14,0.07,0.35,0.09,0.28,0.21,0.18,0.18,0.34,0.46,0.34,0.39,0.37
yale.csv,0.12,0.62,0.44,0.67,0.69,0.31,0.22,0.26,0.33,0.59,0.44,0.0,0.66,0.62,0.48
