,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.63,0.52,0.45,0.92,0.76,0.7,0.76,0.39,0.93,0.97,0.87,0.85,0.29,0.27,0.72
grafx2.csv,0.31,0.34,0.72,0.38,0.18,0.48,0.3,0.07,0.38,0.3,0.34,0.84,0.21,0.13,0.22
keyczar.csv,0.05,0.23,0.21,0.38,0.29,0.01,0.23,0.0,0.28,0.45,0.39,0.0,0.07,0.27,0.06
lmms.csv,0.67,0.41,0.22,0.96,0.55,0.52,1.0,0.51,0.98,1.0,0.87,0.45,0.29,0.4,0.62
lufa-lib.csv,0.61,0.4,0.62,0.5,0.97,0.5,0.67,0.97,0.48,0.31,0.68,0.31,0.64,0.53,0.78
netatalk.csv,0.46,0.48,0.8,0.21,0.66,0.73,0.25,0.97,0.29,0.49,0.29,0.78,0.43,0.67,0.53
openmeetings.csv,0.32,0.47,0.19,0.21,0.13,0.57,0.29,0.14,0.57,0.47,0.53,0.7,0.21,0.07,0.25
openxava.csv,0.38,0.18,0.4,0.08,0.11,0.28,0.37,0.36,0.52,0.5,0.39,0.29,0.36,0.4,0.22
pgui.csv,0.0,0.0,0.37,1.0,0.24,0.0,0.0,0.05,0.27,0.99,0.71,0.0,0.86,1.0,1.0
qpe.csv,0.29,0.25,0.17,0.29,0.16,0.24,0.07,0.12,0.29,0.74,0.39,0.49,0.07,0.27,0.19
quickfast.csv,0.84,0.88,0.8,0.92,0.82,0.57,0.57,0.46,0.98,0.98,0.61,0.97,0.79,0.87,0.25
rsyslog.csv,0.5,0.47,0.66,0.25,0.21,0.57,0.14,0.67,0.41,0.6,0.32,0.85,0.14,0.13,0.25
sylpheed-claws.csv,0.9,0.93,0.9,1.0,1.0,0.69,0.26,0.58,0.54,1.0,1.0,0.84,0.93,1.0,1.0
xqilla.csv,0.1,0.26,0.84,0.0,0.0,0.2,0.04,0.01,0.27,0.38,0.26,0.06,0.21,0.33,0.19
yale.csv,0.71,0.64,0.1,1.0,0.97,0.27,0.48,0.23,0.28,0.96,0.95,0.32,0.64,0.53,0.69
