,f1,g,recall,precision,pf,wins
ardour.csv,0.6,0.59,0.55,0.67,0.19,13
bl-toolkit.csv,0.43,0.31,0.75,0.43,0.86,1
bochs.csv,0.62,0.55,0.8,0.53,0.58,4
emeraldemu.csv,0.53,0.52,0.51,0.62,0.2,6
fbmanager.csv,0.0,0.0,0.0,0.0,0.0,0
modellus.csv,0.53,0.6,0.58,0.68,0.21,12
openmalaria.csv,0.67,0.69,0.8,0.58,0.47,14
pi-qmc.csv,0.53,0.56,0.69,0.52,0.53,3
plplot.csv,0.3,0.36,0.32,0.44,0.17,2
powerfolder.csv,0.54,0.59,0.59,0.6,0.18,11
psycle.csv,0.61,0.68,0.86,0.52,0.6,9
qgis.csv,0.57,0.61,0.61,0.56,0.34,7
sbml.csv,0.6,0.61,0.74,0.54,0.45,8
unimrcp.csv,0.54,0.6,0.58,0.64,0.25,10
wow-qrsk.csv,0.44,0.51,0.47,0.64,0.14,5
