,jfreereport.csv,arcallians.csv,acegisecurity.csv,gebr.csv,amateur-scrolls.csv,kml.csv,multitude.csv
acegisecurity.csv,0.29,0.68,0.97,0.67,0.49,0.65,0.54
amateur-scrolls.csv,0.3,0.36,0.33,0.23,0.97,0.49,0.17
arcallians.csv,0.32,0.97,0.42,0.6,0.46,0.29,0.44
gebr.csv,0.25,0.68,0.43,0.99,0.53,0.65,0.7
jfreereport.csv,0.94,0.35,0.37,0.53,0.49,0.44,0.38
kml.csv,0.28,0.62,0.52,0.64,0.45,0.99,0.57
multitude.csv,0.27,0.67,0.47,0.68,0.53,0.67,0.98
