,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.87,0.03,0.94,0.06,0.65,0.43,0.33,0.38,0.09,0.6,1.0,0.06,0.7
avifile.csv,0.32,1.0,1.0,0.0,0.46,0.35,0.0,0.11,0.29,0.17,0.0,0.19,0.0
baadengine.csv,0.98,0.06,0.97,0.02,0.61,0.35,0.32,0.27,0.19,0.42,0.35,0.12,0.81
gdis.csv,0.77,0.08,0.98,0.01,0.63,0.29,0.35,0.25,0.18,0.45,0.32,0.11,1.0
gogoego.csv,0.82,0.0,0.94,0.06,0.59,0.25,0.3,1.0,0.14,0.56,0.32,0.07,0.81
impala.csv,0.77,0.09,1.0,0.01,0.51,0.32,0.33,0.22,0.16,0.5,0.36,0.96,0.72
jgameai.csv,0.71,0.16,0.96,0.0,0.3,0.96,0.19,0.2,0.11,0.35,0.11,0.13,0.87
jhotdraw.csv,0.68,0.09,0.91,0.0,0.58,0.2,0.17,0.2,1.0,0.28,0.42,0.12,0.83
patterntesting.csv,0.76,0.0,0.94,0.03,0.66,0.5,0.58,0.23,0.2,0.97,0.36,0.09,0.9
pokeglobal.csv,0.75,0.07,0.97,0.02,1.0,0.27,0.37,0.28,0.21,0.58,0.3,0.11,0.86
werx.csv,0.75,0.07,1.0,0.01,0.59,0.29,0.31,0.24,0.18,0.4,0.3,0.12,0.81
zealos.csv,0.73,0.12,0.98,0.0,0.6,0.33,1.0,0.25,0.21,0.43,0.32,0.12,0.78
