,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.0,14.0,0.0,13.0,1.0,1.0,2.0,0.0,9.0,4.0,0.0,10.0,1.0
avifile.csv,0.0,0.0,0.0,101.0,4.0,0.0,97.0,5.0,0.0,6.0,77.0,8.0,69.0
baadengine.csv,0.0,2.0,0.0,48.0,3.0,0.0,6.0,4.0,0.0,4.0,3.0,3.0,1.0
gdis.csv,0.0,3.0,0.0,58.0,1.0,0.0,10.0,1.0,0.0,10.0,9.0,8.0,0.0
gogoego.csv,1.0,69.0,0.0,10.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,3.0,0.0
impala.csv,1.0,3.0,0.0,61.0,4.0,0.0,2.0,4.0,0.0,0.0,6.0,0.0,0.0
jgameai.csv,0.0,2.0,0.0,101.0,2.0,0.0,8.0,4.0,13.0,8.0,15.0,7.0,1.0
jhotdraw.csv,1.0,3.0,0.0,101.0,2.0,0.0,5.0,5.0,0.0,7.0,8.0,5.0,0.0
patterntesting.csv,0.0,69.0,0.0,20.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,14.0,1.0
pokeglobal.csv,0.0,2.0,0.0,30.0,0.0,3.0,4.0,11.0,0.0,0.0,4.0,5.0,0.0
werx.csv,1.0,3.0,0.0,83.0,4.0,0.0,11.0,5.0,0.0,8.0,8.0,8.0,0.0
zealos.csv,1.0,3.0,0.0,101.0,4.0,0.0,0.0,5.0,0.0,8.0,6.0,8.0,0.0
