,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.53,0.23,0.1,0.96,0.31,0.27,0.04,0.27,0.19,0.35,1.0,0.1,0.3
avifile.csv,0.04,1.0,0.15,0.0,0.18,0.45,0.0,0.07,0.04,0.09,0.0,0.15,0.0
baadengine.csv,0.98,0.47,0.0,0.74,0.56,0.58,0.45,0.55,0.45,0.49,0.66,0.5,0.0
gdis.csv,0.55,0.56,0.56,0.67,0.56,0.54,0.6,0.35,0.5,0.65,0.6,0.13,1.0
gogoego.csv,0.69,0.0,0.17,0.96,0.42,0.31,0.05,0.93,0.27,0.34,0.55,0.19,0.29
impala.csv,0.46,0.63,0.36,0.69,0.44,0.6,0.31,0.36,0.4,0.09,0.67,0.97,0.25
jgameai.csv,0.25,0.77,0.0,0.0,0.17,1.0,0.35,0.43,0.12,0.47,0.15,0.19,0.27
jhotdraw.csv,0.39,0.58,0.13,0.0,0.52,0.18,0.04,0.38,0.95,0.38,0.52,0.32,0.21
patterntesting.csv,0.34,0.0,0.0,0.91,0.49,0.4,0.52,0.33,0.3,0.97,0.43,0.23,0.37
pokeglobal.csv,0.52,0.46,0.46,0.86,1.0,0.46,0.62,0.6,0.6,0.42,0.48,0.52,0.68
werx.csv,0.05,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.24,0.09,0.13,0.0
zealos.csv,0.43,0.79,0.62,0.0,0.58,0.54,0.98,0.55,0.47,0.53,0.53,0.52,0.46
