,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv
jparsec.csv,0.45,0.52,0.52,0.22,0.98
minig.csv,0.27,0.37,0.97,0.09,0.55
ossbuild.csv,0.15,0.61,0.4,0.87,0.12
rezilla.csv,0.97,0.59,0.61,0.14,0.5
webdriver.csv,0.24,0.97,0.42,0.35,0.22
