,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv
jparsec.csv,0.0,0.55,0.55,0.0,0.97
minig.csv,0.25,0.39,0.94,0.27,0.49
ossbuild.csv,0.19,0.56,0.41,0.84,0.09
rezilla.csv,1.0,0.57,0.71,0.41,0.33
webdriver.csv,0.19,0.96,0.43,0.8,0.19
