,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv
jparsec.csv,0.37,0.42,0.55,0.42,0.58
minig.csv,0.91,0.52,0.58,0.45,0.64
ossbuild.csv,0.82,0.67,0.72,0.96,0.83
rezilla.csv,0.65,0.38,0.39,0.42,0.43
webdriver.csv,0.83,0.52,0.72,0.6,0.89
