,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.52,0.93,0.94,0.6,0.98,0.8,0.4,0.47,0.0,0.5,0.75,0.36,0.47,0.0
emeraldemu.csv,0.37,0.49,0.49,0.52,0.51,0.72,0.4,0.75,0.39,0.0,0.43,0.89,0.5,0.91
frogatto.csv,0.32,0.38,0.53,0.39,0.34,0.36,0.33,0.4,0.33,0.33,0.37,0.42,0.35,0.36
grafx2.csv,0.36,0.43,0.53,0.5,0.5,0.54,0.35,0.43,0.37,0.32,0.35,0.58,0.41,0.5
jahshakafx.csv,0.34,0.42,0.41,0.43,0.42,0.44,0.36,0.86,0.38,0.29,0.32,0.45,0.32,0.68
nassp.csv,0.49,0.75,0.0,0.49,0.82,0.9,0.83,0.62,0.56,0.38,0.53,0.62,0.42,0.94
netatalk.csv,0.4,0.43,0.53,0.5,0.39,0.4,0.38,0.54,0.35,0.38,0.38,0.44,0.35,0.37
open-beos.csv,0.36,0.4,0.55,0.5,0.37,0.5,0.55,0.39,0.4,0.49,0.36,0.53,0.36,0.52
psycle.csv,0.48,0.45,0.54,0.5,0.4,0.47,0.34,0.41,0.38,0.41,0.36,0.43,0.39,0.4
quantlib.csv,0.48,0.48,0.0,0.47,0.35,0.4,0.67,0.0,0.36,0.0,0.38,0.0,0.0,0.67
reaper-ecad.csv,0.86,0.99,0.69,0.83,0.97,0.88,0.86,0.0,0.0,0.0,0.5,0.86,0.5,0.0
sbml.csv,0.36,0.4,0.44,0.4,0.34,0.44,0.35,0.35,0.36,0.45,0.39,0.36,0.38,0.51
unimrcp.csv,0.38,0.48,0.6,0.45,0.49,0.5,0.35,0.46,0.36,0.4,0.4,0.42,0.47,0.39
unladen-swallow.csv,0.83,0.56,0.89,0.47,0.53,0.53,0.65,0.4,0.0,0.42,0.84,0.43,0.38,0.65
