,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.65,0.31,0.63,0.99,0.14,0.63,0.7,0.47,0.29
chrysalis.csv,0.69,0.52,0.56,0.87,0.23,0.62,0.45,0.4,0.55
jahshaka.csv,0.59,0.6,0.37,0.4,0.14,0.53,0.49,0.26,0.37
jam-daq.csv,0.49,0.13,0.53,0.7,0.29,0.7,0.13,0.39,0.15
jatlas.csv,0.64,0.35,0.51,0.72,0.53,0.6,0.26,0.22,0.4
jedit.csv,0.73,0.31,0.6,0.98,0.15,0.62,0.69,0.38,0.32
open-media-library.csv,0.6,0.38,0.71,0.84,0.3,0.64,0.5,0.43,0.0
panda3d.csv,0.53,0.31,0.47,0.69,0.2,0.59,0.52,0.49,0.33
wheat.csv,0.32,0.3,0.53,0.68,0.21,0.61,0.69,0.36,0.11
