,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.33,0.5,0.5,0.6,0.18,0.29,0.46,0.4,0.64,0.7,0.0,0.31,0.26,0.29
baadengine.csv,0.04,1.0,0.6,0.38,0.75,0.98,0.83,0.64,0.66,0.5,0.9,0.72,0.82,0.78
bnetd.csv,0.4,1.0,0.48,0.37,0.56,0.94,0.06,0.67,0.64,0.41,0.97,0.76,0.76,0.3
impala.csv,0.51,0.0,0.39,0.52,0.26,0.05,0.51,0.39,0.41,0.52,0.47,0.0,0.36,0.07
jaxen.csv,0.09,0.5,0.0,0.03,0.01,0.0,0.0,0.1,0.08,0.13,0.03,0.03,0.13,0.03
jgameai.csv,0.68,0.25,0.38,0.02,0.57,0.1,0.69,0.42,0.25,0.46,0.17,0.13,0.46,0.42
jparsec.csv,1.0,0.25,0.43,0.54,0.87,0.37,0.89,0.55,1.0,0.7,0.83,0.68,0.94,0.01
motu.csv,0.08,0.0,0.07,0.06,0.16,0.48,0.0,0.19,0.02,0.0,0.33,0.19,0.14,0.22
vars-redux.csv,0.56,0.75,0.23,0.24,0.21,0.37,0.11,0.0,0.05,0.22,0.3,0.46,0.11,0.49
werx.csv,1.0,0.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,0.99,0.99
wishmaster.csv,0.06,0.0,0.28,0.14,0.0,0.23,0.0,0.21,0.0,0.07,0.2,0.23,0.13,0.26
xreal.csv,0.05,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.0,0.01,0.0,0.01
zealos.csv,0.56,0.75,0.33,0.44,0.0,0.2,0.2,0.69,0.74,0.46,0.63,0.67,0.64,0.38
