,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,1.0,0.0,101.0,0.0,0.0,19.0,1.0,2.0,16.0,13.0,0.0,5.0,24.0,3.0
baadengine.csv,0.0,0.0,43.0,1.0,6.0,68.0,1.0,1.0,10.0,5.0,1.0,3.0,27.0,2.0
bnetd.csv,0.0,0.0,32.0,0.0,7.0,65.0,0.0,1.0,4.0,1.0,1.0,6.0,16.0,1.0
impala.csv,1.0,0.0,101.0,0.0,12.0,4.0,0.0,2.0,17.0,13.0,0.0,0.0,59.0,0.0
jaxen.csv,4.0,0.0,101.0,88.0,97.0,0.0,73.0,1.0,74.0,4.0,0.0,207.0,183.0,1.0
jgameai.csv,1.0,0.0,101.0,0.0,8.0,86.0,1.0,3.0,8.0,11.0,0.0,7.0,30.0,3.0
jparsec.csv,1.0,0.0,29.0,2.0,13.0,22.0,1.0,1.0,17.0,11.0,1.0,1.0,40.0,0.0
motu.csv,0.0,0.0,101.0,0.0,0.0,34.0,0.0,0.0,74.0,0.0,1.0,0.0,183.0,2.0
vars-redux.csv,0.0,0.0,101.0,6.0,6.0,22.0,2.0,0.0,1.0,2.0,1.0,8.0,183.0,3.0
werx.csv,1.0,0.0,83.0,0.0,11.0,70.0,1.0,2.0,17.0,13.0,1.0,8.0,42.0,3.0
wishmaster.csv,0.0,0.0,101.0,2.0,97.0,18.0,0.0,1.0,0.0,3.0,2.0,7.0,5.0,3.0
xreal.csv,4.0,0.0,101.0,88.0,97.0,86.0,0.0,2.0,74.0,58.0,50.0,1.0,0.0,113.0
zealos.csv,1.0,0.0,20.0,1.0,0.0,9.0,2.0,0.0,15.0,5.0,2.0,8.0,34.0,3.0
