,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.54,0.66,1.12,0.68,0.66,0.67,0.69,0.63,0.7,0.73,0.0,0.78,0.84,0.81
baadengine.csv,0.04,1.01,0.6,0.6,0.75,0.98,0.87,0.68,0.75,0.51,0.93,0.82,0.82,0.82
bnetd.csv,0.43,1.02,0.48,0.65,0.59,0.94,0.06,0.68,0.67,0.44,1.02,0.79,0.76,0.63
impala.csv,0.73,0.86,1.07,0.72,0.94,0.8,0.74,0.96,0.89,0.93,0.85,0.16,0.88,0.83
jaxen.csv,0.89,0.97,1.0,1.0,1.0,0.0,1.0,0.84,1.0,0.78,0.86,1.0,1.01,0.91
jgameai.csv,0.93,0.68,1.07,0.08,0.85,1.0,0.81,0.95,0.89,0.96,0.73,0.89,0.76,0.79
jparsec.csv,1.0,0.7,0.43,0.64,0.94,0.54,0.9,0.64,1.0,0.73,0.92,0.77,0.96,0.05
motu.csv,0.79,0.88,1.0,0.96,0.82,0.77,0.95,0.45,1.0,0.08,0.66,0.82,1.01,0.76
vars-redux.csv,0.84,1.05,1.03,0.84,0.67,0.54,0.93,0.04,0.93,0.44,0.65,0.72,1.01,0.69
werx.csv,1.0,0.0,0.99,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.99,0.99,0.99
wishmaster.csv,0.88,0.79,1.04,0.78,1.0,0.83,0.95,0.8,0.07,0.93,0.79,0.5,0.61,0.88
xreal.csv,0.99,0.98,1.0,1.0,1.0,1.0,0.97,0.98,1.0,1.0,1.0,0.92,0.0,1.0
zealos.csv,0.7,0.79,0.33,0.67,0.0,0.2,0.75,0.72,0.77,0.51,0.66,0.73,0.67,0.65
