,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.71,0.5,0.7,0.7,0.78,0.69,0.06,0.86,0.78,0.88,0.8,0.86,0.81
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
fleet-simulator.csv,0.76,0.86,0.84,0.97,0.36,0.91,0.89,0.91,0.97,0.0,0.75,0.76,0.54
fluent-nhibernate.csv,0.0,0.1,0.08,0.17,0.01,0.05,0.06,0.06,0.08,0.5,0.04,0.0,0.04
galaxium.csv,0.0,0.56,0.01,0.1,0.66,0.31,0.56,0.27,0.6,0.88,0.2,0.41,0.72
itext.csv,0.35,0.33,0.08,0.0,0.04,0.05,0.06,0.26,0.18,0.0,0.05,0.13,0.06
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
mediaportal.csv,0.18,0.41,0.09,0.03,0.64,0.65,0.61,0.0,0.38,0.88,0.07,0.12,0.8
ninject.csv,0.06,0.02,0.05,0.07,0.03,0.08,0.06,0.14,0.08,0.0,0.0,0.21,0.06
smartgwt.csv,0.59,0.2,0.46,0.53,0.0,0.29,0.33,0.62,0.5,0.88,0.64,0.34,0.74
sqlpower-library.csv,0.0,0.91,0.83,0.9,0.54,0.49,0.61,0.92,0.7,1.0,0.6,0.92,0.65
stuproa-cims.csv,0.88,0.02,0.7,0.77,0.4,0.89,0.67,0.93,0.92,0.88,0.87,0.72,0.54
uface.csv,0.76,0.75,0.78,0.9,0.37,0.77,0.83,0.83,0.72,0.12,0.76,0.73,0.02
