,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.75,0.64,0.72,0.75,0.78,0.73,0.06,0.86,0.85,0.92,0.8,0.86,0.83
fido.csv,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fleet-simulator.csv,0.78,0.86,0.84,0.97,0.4,0.91,0.89,0.91,0.97,0.0,0.77,0.78,0.54
fluent-nhibernate.csv,1.0,0.91,0.89,0.98,0.87,1.0,0.79,0.89,0.67,1.12,1.0,0.06,0.88
galaxium.csv,0.61,0.82,0.03,0.68,0.87,0.59,0.77,0.64,0.9,0.97,0.63,0.48,0.94
itext.csv,0.65,0.85,0.55,0.0,0.66,1.0,0.86,0.63,1.02,0.91,0.8,0.43,0.72
mecat.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
mediaportal.csv,0.68,0.77,0.83,0.88,0.99,0.82,0.83,0.05,0.51,1.15,0.8,0.83,1.05
ninject.csv,0.85,0.91,0.77,0.91,0.65,0.75,0.81,0.63,0.67,0.94,0.0,0.36,0.85
smartgwt.csv,0.65,0.79,0.5,0.57,0.04,0.8,0.73,0.65,0.6,1.13,0.75,0.45,0.87
sqlpower-library.csv,0.0,0.92,0.83,0.9,0.57,0.7,0.65,0.92,0.7,1.03,0.72,0.92,0.75
stuproa-cims.csv,0.89,0.06,0.72,0.78,0.41,0.89,0.76,0.93,0.92,0.88,0.87,0.73,0.54
uface.csv,0.87,0.77,0.83,1.02,0.52,0.77,0.86,0.91,0.79,0.3,0.76,0.77,0.02
