,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.41,0.57,0.38,0.52,0.59,0.36,0.38,0.39,0.39,0.42,0.43,0.49,0.47
fido.csv,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fleet-simulator.csv,0.35,0.35,0.33,0.43,0.29,0.32,0.34,0.34,0.33,0.3,0.4,0.39,0.37
fluent-nhibernate.csv,0.0,0.95,0.91,0.83,0.94,0.8,0.77,0.98,0.83,0.75,0.5,0.94,0.93
galaxium.csv,0.61,0.6,0.63,0.64,0.88,0.82,0.62,0.65,0.51,0.53,0.92,0.76,0.7
itext.csv,0.41,0.69,0.74,0.44,0.86,0.8,0.89,0.61,0.91,0.8,0.75,0.78,0.7
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0
mediaportal.csv,0.84,0.68,0.93,0.8,0.99,0.48,0.64,0.94,0.72,0.86,0.8,0.96,0.79
ninject.csv,0.88,0.88,0.92,0.8,0.93,0.89,0.83,0.79,0.83,0.67,0.8,0.55,0.95
smartgwt.csv,0.44,0.93,0.46,0.44,0.57,0.68,0.54,0.46,0.47,0.82,0.58,0.71,0.6
sqlpower-library.csv,0.43,0.36,0.37,0.44,0.47,0.56,0.38,0.37,0.38,0.4,0.47,0.47,0.48
stuproa-cims.csv,0.39,0.78,0.42,0.47,0.29,0.32,0.42,0.38,0.33,0.34,0.43,0.44,0.39
uface.csv,0.45,0.36,0.38,0.6,0.32,0.35,0.34,0.46,0.4,0.42,0.4,0.43,0.38
