,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.5,0.57,0.0,0.38,0.62,0.54,0.05,0.0,0.63,0.38,0.13,0.58,0.58,0.17,0.0,0.0
codepurge.csv,0.56,0.72,0.55,0.38,0.45,0.49,0.83,0.61,0.07,0.67,0.28,0.61,0.55,0.72,0.62,0.52,0.14
fontforge.csv,0.0,0.47,0.0,0.0,0.0,0.64,0.09,0.78,0.27,0.0,0.65,0.32,0.47,0.09,0.05,0.43,0.05
gmerlin.csv,0.0,0.0,0.13,0.0,0.0,0.51,0.0,0.0,0.34,0.0,0.0,0.41,0.0,0.0,0.0,0.53,0.53
hatari.csv,0.57,0.69,0.67,0.49,0.35,0.62,0.54,0.24,0.27,0.39,0.66,0.13,0.6,0.41,0.13,0.55,0.45
jaolt.csv,0.66,0.61,0.39,0.43,0.13,0.48,0.88,0.51,0.62,0.0,0.71,0.51,0.64,0.54,0.0,0.47,0.46
jcl.csv,0.7,0.58,0.59,0.36,0.57,0.45,0.88,0.59,0.4,0.4,0.43,0.2,0.44,0.41,0.53,0.22,0.45
ltp.csv,0.26,0.6,0.5,0.68,0.73,0.62,0.0,0.42,0.57,0.52,0.68,0.64,0.46,0.55,0.47,0.22,0.61
mia.csv,0.48,0.23,0.44,0.48,0.07,0.3,0.89,0.69,0.42,0.21,0.45,0.6,0.19,0.0,0.25,0.38,0.33
net-snmp.csv,0.67,0.59,0.67,0.56,0.43,0.24,0.81,0.13,0.38,0.58,0.17,0.7,0.58,0.51,0.51,0.6,0.43
opde.csv,0.0,0.61,0.0,0.58,0.0,0.64,0.86,0.69,0.61,0.04,0.66,0.17,0.58,0.63,0.2,0.48,0.5
oppna-program-hsatools.csv,0.77,0.62,0.71,0.17,0.7,0.61,0.81,0.0,0.61,0.35,0.82,0.29,0.66,0.14,0.48,0.38,0.4
powerfolder-.csv,0.56,0.72,0.59,0.0,0.48,0.3,0.78,0.15,0.49,0.33,0.61,0.05,0.4,0.1,0.67,0.65,0.49
qlc.csv,0.0,0.6,0.0,0.52,0.34,0.51,0.92,0.0,0.74,0.38,0.26,0.42,0.42,0.29,0.58,0.0,0.33
quantlib.csv,0.0,0.04,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.07,0.0,0.04,0.0,0.0,0.0,0.68
tcl.csv,0.47,0.48,0.5,0.17,0.6,0.56,0.0,0.0,0.58,0.71,0.56,0.33,0.26,0.35,0.0,0.11,0.53
