,autofac.csv,mycila.csv,azureus.csv,octet.csv
autofac.csv,0.78,0.34,0.55,0.56
azureus.csv,0.55,0.5,0.79,0.39
mycila.csv,0.0,0.79,0.63,0.59
octet.csv,0.53,0.34,0.58,0.72
