,autofac.csv,mycila.csv,azureus.csv,octet.csv
autofac.csv,0.19,0.31,0.32,0.22
azureus.csv,0.24,0.25,0.18,0.38
mycila.csv,0.32,0.21,0.32,0.34
octet.csv,0.29,0.21,0.26,0.21
