,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.73,0.84,0.52,0.65,0.54,0.37,0.5,0.65,0.6,0.91,0.64,0.64
emulemorph.csv,0.69,0.92,0.65,0.92,0.81,0.0,0.82,0.0,0.55,0.89,0.0,0.54
jaxen.csv,0.38,0.54,0.38,0.58,0.43,0.74,0.38,0.85,0.47,0.43,0.9,0.34
jvcl.csv,0.67,0.0,0.85,0.83,0.77,0.5,0.67,0.64,0.94,0.67,0.92,0.94
m-m-m.csv,0.54,0.47,0.4,0.45,0.4,0.74,0.39,0.41,0.58,0.4,0.37,0.73
motu.csv,0.4,0.43,0.31,0.49,0.38,0.58,0.75,0.42,0.4,0.61,0.43,0.32
nh3d.csv,0.52,0.83,0.0,0.41,0.38,0.56,0.37,0.4,0.75,0.37,0.36,0.28
sarasvati.csv,0.91,0.48,0.56,0.67,0.64,0.64,0.76,0.41,0.91,0.41,0.38,0.94
wgs-assembler.csv,0.49,0.89,0.56,0.52,0.59,0.0,0.45,0.86,0.59,0.38,0.79,0.64
zabbix.csv,0.34,0.94,0.84,0.61,0.62,0.89,0.75,0.78,0.47,0.59,0.71,0.8
