,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.43,0.61,0.37,0.32,0.23,0.4,0.44,0.3,0.7,0.22,0.51,0.27
emulemorph.csv,0.21,0.04,0.22,0.08,0.23,0.0,0.28,0.0,0.24,0.2,0.0,0.4
jaxen.csv,0.83,0.91,0.57,0.52,0.81,0.8,0.89,0.1,0.82,0.8,0.13,0.75
jvcl.csv,0.01,0.0,0.17,0.03,0.22,0.0,0.05,0.27,0.14,0.02,0.01,0.16
m-m-m.csv,0.49,0.65,0.77,0.74,0.9,0.2,0.95,0.98,0.54,0.87,0.87,0.28
motu.csv,0.43,0.69,0.8,0.71,0.97,0.2,0.07,0.96,0.41,0.22,0.41,0.76
nh3d.csv,0.46,0.01,0.0,1.0,1.0,1.0,1.0,1.0,0.04,1.0,1.0,1.0
sarasvati.csv,0.16,0.45,0.54,0.28,0.39,0.2,0.26,0.66,0.21,0.43,0.8,0.17
wgs-assembler.csv,0.34,0.03,0.36,0.28,0.29,0.0,0.79,0.07,0.22,0.59,0.23,0.26
zabbix.csv,0.73,0.05,0.27,0.55,0.32,0.1,0.33,0.3,0.4,0.59,0.14,0.29
