,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.75,0.65,0.62,0.79,0.31,0.81,0.44,0.86,0.97,0.95,0.63,1.04
emulemorph.csv,0.75,1.0,0.66,0.91,0.59,1.0,1.04,1.0,0.41,1.02,1.0,1.08
jaxen.csv,0.87,0.91,0.6,0.64,0.82,0.87,0.89,0.1,0.88,0.81,0.6,1.25
jvcl.csv,0.95,1.0,0.53,0.91,0.74,0.96,1.0,0.48,0.68,0.85,0.82,0.16
m-m-m.csv,0.69,0.7,0.88,0.74,0.92,0.29,0.95,0.98,0.99,0.87,0.9,0.28
motu.csv,0.61,0.69,0.83,0.9,0.97,0.7,1.0,0.98,0.78,0.44,0.51,0.76
nh3d.csv,0.63,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sarasvati.csv,0.71,0.67,0.92,0.39,0.85,0.85,0.26,0.69,1.02,0.63,0.95,1.02
wgs-assembler.csv,0.62,1.0,0.72,0.39,0.77,0.98,0.79,0.8,0.4,0.63,0.85,0.26
zabbix.csv,0.76,1.0,0.68,0.62,0.78,0.67,1.05,0.67,0.64,0.75,0.59,1.04
