,esmf.csv,pentahoanalysistool.csv,phet.csv,voms.csv,aztec.csv,qtractor.csv,acegisecurity.csv,bibedt.csv,kowari.csv,sumatrapdf.csv,irrlicht.csv,modellus.csv,open-data-kit.csv,roller.csv,ultimairis.csv,lportal.csv,jstock.csv,synergyspace.csv
acegisecurity.csv,0.52,0.71,0.44,0.47,0.65,0.69,0.71,0.44,0.6,0.44,0.46,0.75,0.62,0.63,0.56,0.7,0.56,0.63
aztec.csv,0.21,0.45,0.2,0.26,0.82,0.77,0.61,0.55,0.7,0.19,0.48,0.7,0.53,0.63,0.33,0.55,0.65,0.14
bibedt.csv,0.58,0.63,0.39,0.13,0.25,0.71,0.59,0.73,0.17,0.61,0.26,0.42,0.61,0.72,0.64,0.66,0.27,0.18
esmf.csv,0.61,0.5,0.56,0.54,0.26,0.66,0.57,0.27,0.65,0.49,0.58,0.41,0.32,0.13,0.09,0.3,0.57,0.27
irrlicht.csv,0.05,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jstock.csv,0.52,0.64,0.19,0.13,0.37,0.63,0.49,0.67,0.69,0.3,0.42,0.69,0.59,0.64,0.54,0.59,0.83,0.31
kowari.csv,0.58,0.24,0.49,0.51,0.05,0.56,0.49,0.21,0.72,0.3,0.49,0.44,0.25,0.31,0.0,0.34,0.58,0.49
lportal.csv,0.18,0.38,0.01,0.0,0.0,0.05,0.15,0.0,0.0,0.16,0.06,0.2,0.0,0.56,0.0,0.74,0.0,0.0
modellus.csv,0.66,0.66,0.31,0.13,0.29,0.59,0.59,0.24,0.6,0.53,0.52,0.78,0.73,0.62,0.35,0.74,0.36,0.42
open-data-kit.csv,0.46,0.41,0.51,0.33,0.6,0.62,0.68,0.71,0.64,0.62,0.56,0.59,0.75,0.17,0.17,0.48,0.82,0.47
pentahoanalysistool.csv,0.4,0.69,0.55,0.54,0.2,0.46,0.44,0.12,0.0,0.44,0.29,0.6,0.47,0.34,0.18,0.61,0.26,0.66
phet.csv,0.33,0.22,0.64,0.35,0.23,0.46,0.18,0.27,0.0,0.27,0.41,0.26,0.34,0.01,0.16,0.0,0.42,0.33
qtractor.csv,0.59,0.62,0.31,0.37,0.84,0.78,0.68,0.54,0.68,0.59,0.61,0.74,0.66,0.7,0.76,0.78,0.5,0.39
roller.csv,0.5,0.55,0.41,0.58,0.64,0.54,0.56,0.48,0.17,0.65,0.58,0.69,0.75,0.73,0.51,0.72,0.73,0.31
sumatrapdf.csv,0.33,0.52,0.51,0.31,0.47,0.75,0.24,0.63,0.0,0.77,0.57,0.75,0.59,0.0,0.66,0.17,0.71,0.49
synergyspace.csv,0.43,0.62,0.43,0.69,0.29,0.43,0.69,0.12,0.47,0.74,0.24,0.54,0.45,0.33,0.16,0.58,0.45,0.78
ultimairis.csv,0.07,0.65,0.13,0.26,0.15,0.63,0.09,0.0,0.59,0.6,0.67,0.63,0.67,0.5,0.66,0.0,0.41,0.67
voms.csv,0.61,0.67,0.23,0.96,0.05,0.43,0.55,0.12,0.52,0.62,0.31,0.41,0.3,0.73,0.23,0.27,0.27,0.35
