,geotools.csv,jahshakafx.csv,nassp.csv,amanda.csv,pdfedit.csv,rodin-b-sharp.csv,lockss.csv,proftp.csv,ns-3-dev-def-routing.csv,jfreechart.csv,grisbi.csv,dvt.csv
amanda.csv,0.68,0.61,0.48,0.18,0.77,0.68,0.57,0.54,0.52,0.15,0.0,0.42
dvt.csv,0.12,0.89,0.5,0.52,0.26,0.57,0.13,0.62,0.44,0.4,1.0,0.28
geotools.csv,0.33,0.83,0.39,0.45,0.47,0.64,0.35,0.46,0.52,0.95,0.64,0.45
grisbi.csv,0.94,0.68,0.8,0.68,0.77,0.95,0.76,0.76,0.65,0.81,0.14,0.9
jahshakafx.csv,0.71,0.27,0.5,0.7,0.33,0.55,0.48,0.68,0.39,0.75,0.5,0.36
lockss.csv,0.32,0.53,0.04,0.03,0.09,0.18,0.38,0.08,0.09,0.72,0.0,0.27
nassp.csv,0.34,0.18,0.28,0.07,0.12,0.25,0.23,0.05,0.31,0.02,0.0,0.08
ns-3-dev-def-routing.csv,0.34,0.91,0.67,0.23,0.44,0.68,0.32,0.16,0.37,0.88,0.43,0.85
pdfedit.csv,0.33,0.24,0.5,0.55,0.4,0.49,0.96,0.68,0.3,0.82,0.64,0.38
proftp.csv,0.13,0.44,0.2,0.17,0.07,0.18,0.33,0.3,0.26,0.02,0.07,0.12
rodin-b-sharp.csv,0.55,0.3,0.52,0.83,0.37,0.17,0.58,0.24,0.61,0.14,0.64,0.12
