,geotools.csv,jahshakafx.csv,nassp.csv,amanda.csv,pdfedit.csv,rodin-b-sharp.csv,lockss.csv,proftp.csv,ns-3-dev-def-routing.csv,jfreechart.csv,grisbi.csv,dvt.csv
amanda.csv,0.38,0.35,0.24,0.17,0.33,0.33,0.32,0.24,0.26,0.18,0.15,0.27
dvt.csv,0.3,0.45,0.29,0.29,0.21,0.26,0.22,0.28,0.2,0.24,0.34,0.22
geotools.csv,0.17,0.42,0.24,0.18,0.26,0.23,0.16,0.22,0.23,0.26,0.26,0.18
grisbi.csv,0.39,0.33,0.31,0.31,0.3,0.37,0.31,0.3,0.26,0.25,0.23,0.47
jahshakafx.csv,0.3,0.15,0.21,0.27,0.19,0.22,0.21,0.24,0.19,0.23,0.24,0.13
lockss.csv,0.18,0.26,0.33,0.28,0.26,0.13,0.18,0.33,0.3,0.23,0.35,0.14
nassp.csv,0.23,0.15,0.19,0.21,0.27,0.22,0.17,0.34,0.16,0.26,0.16,0.38
ns-3-dev-def-routing.csv,0.21,0.48,0.33,0.17,0.29,0.28,0.23,0.15,0.26,0.28,0.3,0.5
pdfedit.csv,0.23,0.19,0.26,0.28,0.29,0.31,0.39,0.31,0.22,0.27,0.29,0.24
proftp.csv,0.32,0.27,0.17,0.13,0.22,0.14,0.2,0.16,0.14,0.26,0.15,0.1
rodin-b-sharp.csv,0.34,0.24,0.24,0.38,0.21,0.26,0.29,0.24,0.34,0.22,0.29,0.13
