,geotools.csv,jahshakafx.csv,nassp.csv,amanda.csv,pdfedit.csv,rodin-b-sharp.csv,lockss.csv,proftp.csv,ns-3-dev-def-routing.csv,jfreechart.csv,grisbi.csv,dvt.csv
amanda.csv,0.33,0.52,0.52,0.66,0.65,0.32,0.36,0.57,0.51,0.0,0.37,0.3
dvt.csv,0.34,0.39,0.29,0.49,0.46,0.2,0.26,0.53,0.48,0.05,0.74,0.56
geotools.csv,0.54,0.5,0.42,0.58,0.57,0.37,0.41,0.64,0.56,0.02,0.73,0.42
grisbi.csv,0.45,0.54,0.39,0.63,0.68,0.51,0.37,0.65,0.51,0.0,0.91,0.39
jahshakafx.csv,0.42,0.68,0.44,0.64,0.52,0.3,0.35,0.67,0.48,0.03,0.9,0.36
lockss.csv,0.45,0.59,0.13,0.26,0.16,0.16,0.44,0.22,0.17,0.0,0.0,0.38
nassp.csv,0.24,0.62,0.53,0.3,0.19,0.44,0.41,0.22,0.41,0.0,0.45,0.08
ns-3-dev-def-routing.csv,0.36,0.39,0.31,0.55,0.65,0.22,0.21,0.5,0.6,0.0,0.24,0.46
pdfedit.csv,0.3,0.6,0.41,0.62,0.74,0.61,0.31,0.62,0.33,0.0,0.68,0.3
proftp.csv,0.15,0.48,0.55,0.61,0.2,0.12,0.35,0.72,0.42,0.5,0.46,0.17
rodin-b-sharp.csv,0.24,0.4,0.36,0.54,0.56,0.77,0.35,0.47,0.38,0.0,0.87,0.11
