,geotools.csv,jahshakafx.csv,nassp.csv,amanda.csv,pdfedit.csv,rodin-b-sharp.csv,lockss.csv,proftp.csv,ns-3-dev-def-routing.csv,jfreechart.csv,grisbi.csv,dvt.csv
amanda.csv,0.83,0.63,0.48,0.44,0.78,0.9,0.63,0.64,0.64,1.01,0.77,0.77
dvt.csv,0.74,0.93,0.71,0.71,0.68,0.97,0.78,0.72,0.65,0.4,1.04,0.45
geotools.csv,0.47,0.83,0.51,0.59,0.63,0.83,0.5,0.53,0.6,0.95,0.73,0.63
grisbi.csv,0.94,0.68,0.8,0.7,0.77,0.96,0.76,0.76,0.72,1.28,0.2,0.93
jahshakafx.csv,0.76,0.31,0.53,0.72,0.63,0.86,0.6,0.68,0.63,0.75,0.51,0.69
lockss.csv,0.57,0.54,0.92,0.85,0.91,0.9,0.47,0.87,0.9,1.23,1.0,0.67
nassp.csv,0.82,0.4,0.38,0.81,0.89,0.65,0.55,0.87,0.7,1.0,0.71,0.96
ns-3-dev-def-routing.csv,0.69,0.94,0.75,0.57,0.54,0.99,0.79,0.62,0.5,1.33,0.95,0.86
pdfedit.csv,0.75,0.41,0.56,0.61,0.44,0.52,0.96,0.7,0.77,1.29,0.76,0.77
proftp.csv,0.9,0.58,0.39,0.51,0.89,0.93,0.6,0.38,0.67,0.02,0.7,0.89
rodin-b-sharp.csv,0.87,0.66,0.62,0.88,0.6,0.25,0.64,0.65,0.82,1.01,0.65,0.94
