,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.35,0.08,0.98,0.11,0.04,0.1,0.14,0.22,0.0,0.1,0.13,0.36,0.22
flylinkdc.csv,1.0,0.07,0.29,0.23,0.31,0.37,0.38,0.11,0.6,0.27,0.3,0.46,0.3
fw4spl.csv,0.32,0.72,0.5,0.34,0.88,0.27,0.36,0.33,0.2,0.62,0.43,0.33,0.26
grisbi.csv,0.84,0.58,0.81,0.91,0.92,0.97,0.98,1.0,1.0,0.58,0.67,0.72,0.87
mesa3d.csv,0.3,0.56,0.36,0.17,0.54,0.37,0.12,0.33,0.4,0.31,0.14,0.8,0.26
nuttx.csv,0.81,1.0,0.6,0.74,0.79,0.93,0.79,0.78,0.6,0.48,0.67,0.65,0.83
panda3d.csv,0.05,0.03,0.17,0.11,0.15,0.17,0.15,0.0,0.4,0.98,0.11,0.04,0.22
proftp.csv,0.32,0.33,0.29,0.6,0.52,0.97,0.24,0.0,0.2,0.25,0.21,0.32,0.52
qmmp.csv,0.81,0.92,0.76,0.49,0.75,0.33,0.55,0.67,0.4,0.67,0.92,0.83,0.57
skia.csv,0.35,0.36,0.21,0.51,0.44,0.53,0.36,0.0,0.4,0.38,0.24,0.26,1.0
tart.csv,0.0,0.0,0.1,0.14,0.12,0.07,0.14,0.0,0.8,0.0,0.02,0.0,0.13
tcvp.csv,0.38,0.34,0.38,0.34,0.17,0.23,0.36,1.0,0.4,0.58,0.25,0.29,0.22
utgb.csv,0.49,0.31,0.29,1.0,0.54,0.5,0.38,0.44,0.6,0.44,0.38,0.45,0.48
