,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.2,0.08,0.01,0.1,0.06,0.05,0.07,0.28,0.17,0.12,0.11,0.24,0.2
flylinkdc.csv,0.0,0.15,0.48,0.23,0.2,0.16,0.0,0.05,0.31,0.21,0.1,0.43,0.3
fw4spl.csv,0.67,0.72,0.58,0.32,0.0,0.51,0.93,0.46,0.39,0.68,0.66,0.5,0.43
grisbi.csv,0.64,0.51,0.63,0.71,0.82,0.76,0.0,0.84,0.72,0.48,0.52,0.58,0.76
mesa3d.csv,0.44,0.64,0.32,0.32,0.41,0.27,0.57,0.09,0.33,0.36,0.1,0.02,0.28
nuttx.csv,0.62,0.05,0.42,0.74,0.66,0.65,0.29,0.65,0.56,0.36,0.76,0.52,0.72
panda3d.csv,0.1,0.05,0.08,0.1,0.07,0.22,0.0,0.01,0.39,0.01,0.11,0.02,0.09
proftp.csv,0.1,0.44,0.23,0.35,0.21,0.0,0.0,0.0,0.18,0.18,0.08,0.16,0.33
qmmp.csv,0.67,0.95,0.42,0.45,0.51,0.35,0.5,0.51,0.66,0.51,0.02,0.82,0.63
skia.csv,0.12,0.33,0.5,0.52,0.39,0.49,0.0,0.14,0.22,0.32,0.53,0.32,0.0
tart.csv,0.04,0.0,0.05,0.06,0.2,0.05,0.0,0.01,0.0,0.02,0.03,0.01,0.07
tcvp.csv,0.21,0.38,0.48,0.42,0.14,0.08,0.07,0.01,0.28,0.39,0.26,0.16,0.24
utgb.csv,0.17,0.41,0.19,0.0,0.43,0.35,0.07,0.3,0.33,0.28,0.1,0.33,0.33
