,openefm.csv,jgnash.csv,ingex.csv,ambulant.csv,synecdoche.csv
ambulant.csv,0.76,0.4,0.79,0.78,0.69
ingex.csv,0.52,0.64,0.55,0.32,0.41
jgnash.csv,0.61,0.72,0.69,0.49,0.59
openefm.csv,0.76,0.6,0.38,0.39,0.24
synecdoche.csv,0.7,0.64,0.34,0.29,0.62
