,openefm.csv,jgnash.csv,ingex.csv,ambulant.csv,synecdoche.csv
ambulant.csv,0.43,0.21,0.53,0.75,0.44
ingex.csv,0.33,0.22,0.59,0.39,0.41
jgnash.csv,0.53,0.49,0.49,0.46,0.47
openefm.csv,0.68,0.23,0.39,0.45,0.29
synecdoche.csv,0.47,0.24,0.38,0.3,0.63
