,openefm.csv,jgnash.csv,ingex.csv,ambulant.csv,synecdoche.csv
ambulant.csv,0.87,0.43,0.68,0.18,0.95
ingex.csv,0.78,0.72,0.18,0.18,0.42
jgnash.csv,0.33,0.21,0.64,0.39,0.6
openefm.csv,0.22,0.61,0.34,0.21,0.28
synecdoche.csv,0.61,0.62,0.28,0.41,0.23
