,mycila.csv,azureus.csv,octet.csv,autofac.csv
autofac.csv,15.0,13.0,5.0,
azureus.csv,13.0,,5.0,0.0
mycila.csv,,5.0,0.0,4.0
octet.csv,0.0,11.0,,1.0
