,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,l2j.csv,jruby.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.85,0.9,0.31,0.57,0.94,0.36,0.6,0.52,0.38,0.93,0.75,0.89,0.13,0.65,0.21,0.04,0.7,0.85,0.22,0.74
betoffice.csv,0.88,0.83,0.22,0.28,0.8,0.2,0.59,0.54,0.14,0.92,0.51,0.9,0.06,0.49,0.32,0.12,0.69,0.89,0.25,0.58
bionote.csv,0.69,0.87,0.0,0.4,1.0,0.0,0.86,0.42,0.44,0.92,1.0,0.88,1.0,0.58,0.54,0.06,0.67,1.0,0.33,0.53
bnetd.csv,0.83,0.82,0.33,0.46,0.88,0.41,0.54,0.5,0.37,0.94,0.75,0.92,0.16,0.6,0.35,0.08,0.72,0.88,0.29,0.68
elvishrayrenderer.csv,0.78,0.81,1.0,0.37,0.93,0.57,0.55,0.75,0.34,0.91,0.73,0.88,0.21,0.62,0.35,0.06,0.83,0.84,0.5,0.75
emisview.csv,0.71,0.0,0.36,0.53,0.96,0.57,0.88,0.5,0.47,0.0,0.64,0.88,0.21,0.61,0.44,0.2,0.91,0.85,0.58,1.0
findbugs.csv,0.72,0.9,0.2,0.37,0.85,0.35,0.8,0.54,0.59,1.0,0.54,0.95,0.15,0.62,0.55,0.03,0.65,0.89,0.33,0.67
hazelcast.csv,0.76,0.89,0.44,0.4,0.96,0.31,0.68,0.53,0.29,0.93,0.68,0.93,0.13,0.6,0.35,0.09,0.81,0.85,0.4,0.69
jitterbit.csv,0.71,1.0,0.27,0.6,0.89,0.32,0.57,0.52,0.83,1.0,0.53,0.91,0.19,0.65,0.5,0.0,0.65,0.8,0.38,0.89
jppf-project.csv,0.79,0.82,0.22,0.29,0.85,0.27,0.63,0.51,0.21,0.92,0.49,0.95,0.12,0.57,0.38,0.08,0.72,0.87,0.32,0.6
jruby.csv,0.77,0.82,0.22,0.32,0.84,0.3,0.64,0.5,0.27,0.92,0.53,0.92,0.13,0.55,0.38,0.08,0.72,0.87,0.3,0.65
kolmafia.csv,0.77,0.82,0.22,0.36,0.94,0.31,0.58,0.5,0.32,0.91,0.6,0.93,0.14,0.8,0.39,0.08,0.76,0.87,0.29,0.68
l2j.csv,0.78,0.87,0.75,0.39,1.0,0.33,0.58,0.47,0.35,0.96,0.62,0.9,0.12,0.68,0.32,0.08,0.81,0.85,0.37,0.66
megasquirtavr.csv,0.79,0.82,1.0,0.32,0.9,0.3,0.67,0.48,0.26,0.92,0.53,0.92,0.12,0.55,0.37,0.08,0.74,0.87,0.37,0.65
qedo.csv,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.57,0.8,0.0,0.0,0.0,0.0,0.0,0.25,0.88,0.0,0.0,0.0
stajistics.csv,0.81,0.74,0.0,0.3,0.92,0.4,0.75,0.64,0.24,0.93,0.53,0.88,0.27,0.56,0.43,0.08,0.75,0.86,0.6,0.64
trackit.csv,0.78,0.77,0.19,0.33,0.91,0.29,0.67,0.45,0.25,0.92,0.47,0.91,0.14,0.52,0.38,0.09,0.74,0.85,0.35,0.64
wxlua.csv,0.84,0.83,0.21,0.32,0.73,0.3,0.65,0.52,0.27,0.92,0.53,0.92,0.13,0.54,0.41,0.09,0.71,0.88,0.24,0.65
x4x.csv,0.83,0.82,0.24,0.33,0.86,0.31,0.64,0.53,0.26,0.91,0.53,0.92,0.09,0.54,0.38,0.09,0.73,0.87,0.32,0.71
xharbour.csv,0.78,0.91,0.22,0.32,0.85,0.3,0.64,0.49,0.28,0.92,0.52,0.92,0.13,0.54,0.38,0.08,0.72,0.87,0.31,0.65
