,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,l2j.csv,jruby.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.0,0.0,2.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,3.0,0.0,9.0,3.0,0.0,0.0,3.0,0.0,8.0,1.0
betoffice.csv,0.0,0.0,13.0,0.0,0.0,6.0,2.0,0.0,28.0,0.0,1.0,0.0,19.0,5.0,0.0,0.0,7.0,0.0,11.0,0.0
bionote.csv,0.0,0.0,92.0,2.0,0.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,9.0,2.0
bnetd.csv,0.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,10.0,4.0,3.0,69.0,5.0,0.0,10.0,1.0
elvishrayrenderer.csv,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
emisview.csv,0.0,105.0,7.0,1.0,0.0,4.0,0.0,1.0,1.0,95.0,0.0,0.0,7.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0
findbugs.csv,0.0,0.0,16.0,4.0,0.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,9.0,2.0,0.0,11.0,5.0,0.0,11.0,0.0
hazelcast.csv,0.0,0.0,1.0,5.0,0.0,10.0,0.0,0.0,10.0,0.0,5.0,0.0,21.0,2.0,0.0,10.0,0.0,0.0,8.0,0.0
jitterbit.csv,0.0,0.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,260.0,6.0,0.0,8.0,0.0
jppf-project.csv,0.0,0.0,18.0,0.0,0.0,10.0,2.0,0.0,5.0,0.0,1.0,0.0,14.0,3.0,0.0,0.0,8.0,0.0,8.0,0.0
jruby.csv,0.0,0.0,18.0,0.0,0.0,10.0,2.0,0.0,5.0,0.0,1.0,0.0,16.0,5.0,0.0,0.0,5.0,0.0,11.0,0.0
kolmafia.csv,0.0,0.0,18.0,6.0,0.0,7.0,1.0,0.0,2.0,0.0,1.0,0.0,12.0,0.0,0.0,62.0,9.0,0.0,16.0,0.0
l2j.csv,0.0,0.0,0.0,6.0,0.0,6.0,0.0,2.0,4.0,0.0,1.0,0.0,23.0,0.0,9.0,55.0,0.0,0.0,6.0,3.0
megasquirtavr.csv,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,9.0,0.0,1.0,0.0,26.0,4.0,1.0,0.0,9.0,0.0,13.0,0.0
qedo.csv,53.0,105.0,92.0,0.0,64.0,75.0,63.0,89.0,1.0,0.0,73.0,99.0,59.0,85.0,72.0,3.0,0.0,144.0,98.0,51.0
stajistics.csv,0.0,0.0,92.0,0.0,1.0,6.0,0.0,0.0,3.0,0.0,3.0,0.0,8.0,5.0,0.0,2.0,1.0,0.0,4.0,0.0
trackit.csv,0.0,0.0,10.0,0.0,0.0,10.0,0.0,3.0,2.0,0.0,1.0,0.0,20.0,5.0,0.0,0.0,4.0,0.0,5.0,0.0
wxlua.csv,0.0,0.0,18.0,0.0,0.0,10.0,2.0,0.0,5.0,0.0,1.0,0.0,16.0,5.0,0.0,0.0,5.0,0.0,11.0,0.0
x4x.csv,0.0,0.0,11.0,0.0,0.0,10.0,2.0,0.0,5.0,0.0,1.0,0.0,26.0,5.0,0.0,0.0,3.0,0.0,10.0,0.0
xharbour.csv,0.0,0.0,18.0,0.0,0.0,10.0,2.0,1.0,4.0,0.0,1.0,0.0,16.0,11.0,0.0,0.0,5.0,0.0,10.0,0.0
