,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.97,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
chrysalis.csv,0.64,0.64,0.78,0.84,0.8,0.4,0.8,0.32,0.4,0.85
jahshaka.csv,0.57,0.82,0.38,0.27,0.6,0.6,0.64,0.32,0.42,0.81
jam-daq.csv,0.57,0.09,0.35,0.51,0.6,0.26,0.71,0.11,0.27,0.11
jatlas.csv,0.9,0.45,0.68,0.55,1.0,0.02,0.64,0.07,0.15,0.3
jedit.csv,0.72,0.64,0.62,1.0,0.8,0.63,1.0,0.75,0.44,0.93
mscore.csv,0.57,0.73,0.72,0.9,1.0,0.7,1.0,0.82,0.6,0.67
open-media-library.csv,0.8,0.36,0.75,0.75,1.0,0.6,0.82,0.43,0.5,0.07
panda3d.csv,0.77,0.18,0.45,0.61,0.8,0.19,0.6,0.46,0.6,0.78
wheat.csv,0.52,0.45,0.8,0.66,1.0,0.65,0.84,0.75,0.5,0.33
