,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,1.0,0.19,0.32,1.0,0.23,0.97,1.0,0.0,1.0,0.31,1.0,0.3,1.0,0.19,1.0,1.0
chipster.csv,0.22,0.1,0.01,1.0,0.19,0.58,0.62,0.27,0.54,0.62,0.43,0.15,0.25,0.25,0.42,0.54
delphilhlplib.csv,0.29,0.63,0.53,0.0,0.42,0.73,0.12,0.3,0.23,0.58,0.43,0.48,0.76,0.62,0.47,0.44
emite.csv,0.31,0.32,0.36,0.89,0.18,0.42,0.12,0.54,0.56,1.0,0.48,0.0,0.16,0.2,0.58,0.41
hydrate.csv,0.09,0.05,0.1,0.28,0.17,0.27,0.5,0.19,0.59,0.15,0.14,0.0,0.07,0.06,0.0,0.57
ivataopenportal.csv,0.47,0.83,0.7,1.0,0.02,0.82,0.88,0.81,0.79,0.79,0.76,0.75,0.36,0.61,0.63,0.86
jppf-project.csv,1.0,0.93,0.92,0.22,0.72,0.97,0.0,0.92,0.87,0.75,1.0,0.95,0.67,0.81,1.0,1.0
kolmafia.csv,0.73,0.21,0.23,0.33,0.45,0.42,0.25,0.35,0.0,0.71,0.29,0.1,0.25,0.23,0.47,0.88
l2j.csv,0.76,0.54,0.61,0.89,0.4,0.7,0.75,0.68,0.41,0.77,0.57,0.68,0.0,0.62,0.84,0.75
mb-unit.csv,0.62,0.03,0.42,0.67,0.86,0.58,0.5,0.54,0.64,0.35,0.52,0.28,0.79,0.65,0.58,0.89
opde.csv,0.0,0.54,0.57,1.0,0.22,0.85,0.62,0.62,0.74,0.96,0.71,0.4,0.46,0.43,0.79,0.76
pamguard.csv,0.38,0.51,0.69,0.83,0.7,0.0,0.62,0.68,0.74,0.9,1.0,0.7,0.8,0.59,0.58,0.87
quark.csv,0.07,0.07,0.04,0.06,0.0,0.03,0.0,0.03,0.03,0.0,0.0,0.05,0.04,0.07,0.0,0.0
stajistics.csv,0.36,0.13,0.43,0.5,0.17,0.61,1.0,0.54,0.41,0.75,0.9,0.5,0.3,0.01,0.79,0.69
tigermud.csv,0.73,0.45,0.69,0.17,0.79,0.76,0.88,0.78,0.74,0.17,0.1,0.7,0.67,0.48,0.74,0.75
