,recall,precision,pf,pci_20,ifa,wins
aufs.csv,0.45,0.29,0.33,0.69,3.0,8
bscwweasel.csv,0.42,0.33,0.2,0.75,3.0,12
capcode.csv,0.38,0.33,0.27,0.63,3.0,9
emite.csv,0.43,0.26,0.32,0.59,3.0,6
extprosys.csv,0.93,0.25,0.78,0.44,4.0,2
lamp.csv,0.7,0.31,0.73,0.5,5.0,4
retromenu.csv,0.36,0.4,0.21,0.55,4.0,10
smbopensoft.csv,0.81,0.26,0.69,0.43,8.0,0
snakeyaml.csv,0.25,0.36,0.16,0.66,2.0,11
stuproa-cims.csv,0.26,0.35,0.07,0.58,8.0,5
ta3d.csv,0.16,0.25,0.06,0.56,5.0,3
thout.csv,0.89,0.28,0.95,0.44,5.0,1
vrjuggler.csv,0.68,0.32,0.65,0.55,3.0,7
