,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.64,0.36,0.67,0.47,0.55,0.55,0.74,0.21,0.24,0.54,0.39,0.61,0.64,0.63
exordium.csv,0.69,0.13,0.48,0.24,0.86,0.44,0.66,0.7,0.62,0.59,0.29,0.5,0.39,0.58
google-caja.csv,0.6,0.37,0.63,0.62,0.67,0.55,0.72,0.82,0.38,0.71,0.49,0.66,0.6,0.66
hydrogen.csv,0.0,0.0,0.0,0.0,0.0,0.27,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kmess.csv,0.16,0.25,0.51,0.54,0.52,0.47,0.54,0.18,0.18,0.15,0.1,0.51,0.67,0.59
kvs.csv,0.0,0.0,0.34,0.8,0.0,0.16,0.0,0.58,0.31,0.4,0.11,0.18,0.17,0.34
megameknet.csv,0.53,0.25,0.55,0.64,0.72,0.61,0.75,0.27,0.48,0.75,0.4,0.61,0.57,0.64
ns-3-dev-def-routing.csv,0.65,0.19,0.44,0.12,0.65,0.52,0.58,0.4,0.57,0.61,0.38,0.65,0.54,0.23
open-ms.csv,0.36,0.19,0.54,0.83,0.45,0.48,0.66,0.57,0.49,0.63,0.18,0.55,0.6,0.59
openmsx.csv,0.16,0.55,0.45,0.35,0.27,0.41,0.23,0.41,0.56,0.45,0.58,0.54,0.57,0.57
rezilla.csv,0.58,0.81,0.62,0.6,0.62,0.5,0.69,0.07,0.44,0.47,0.46,0.57,0.57,0.53
sauerbraten.csv,0.73,0.47,0.38,0.13,0.45,0.66,0.09,0.32,0.52,0.24,0.27,0.42,0.2,0.46
webdriver.csv,0.75,0.25,0.48,0.58,0.82,0.7,0.73,0.35,0.47,0.64,0.39,0.61,0.58,0.56
yafdotnet.csv,0.62,0.19,0.6,0.57,0.63,0.54,0.73,0.37,0.73,0.57,0.51,0.56,0.57,0.59
