,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,miranda-icq.csv,roolo.csv,freewrl.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,soar.csv,geotools.csv,web-cat.csv,fulguro.csv
cleartk.csv,1.0,0.78,0.85,1.0,0.64,0.63,0.9,0.74,0.62,0.98,0.55,0.04,0.94,0.67,0.93,0.94,0.1,0.74,0.89,0.0
encog-cs.csv,1.0,1.0,0.85,0.76,0.86,0.87,0.87,0.78,0.95,0.87,0.85,0.85,0.96,1.0,0.78,0.64,0.94,0.76,0.47,1.0
extprosys.csv,1.0,0.8,0.96,0.59,0.57,0.43,0.62,0.64,0.68,0.5,0.8,0.81,0.56,0.67,0.55,0.22,0.58,0.53,0.42,0.55
freewrl.csv,1.0,0.49,0.77,0.46,0.39,0.63,0.44,0.33,0.3,0.52,0.25,0.96,0.39,0.33,0.38,0.75,0.35,0.53,0.42,0.36
fulguro.csv,0.0,0.02,0.06,0.13,0.14,0.07,0.0,0.05,0.08,0.0,0.1,0.15,0.06,0.0,0.02,0.03,0.0,0.02,0.0,0.82
geotools.csv,0.0,0.37,0.25,0.29,0.57,0.33,0.26,0.34,0.26,0.69,0.1,0.04,0.44,0.0,0.23,0.08,0.0,0.95,0.16,0.36
ibatisdb.csv,0.0,0.31,0.13,0.15,0.25,0.2,0.21,0.23,0.09,0.21,0.6,0.07,0.32,0.33,0.17,1.0,0.1,0.29,0.42,0.36
intact.csv,1.0,0.8,0.09,0.51,0.68,0.93,0.67,0.26,0.55,0.79,0.7,0.63,0.22,0.0,0.25,0.25,0.58,0.32,0.11,0.45
japano.csv,1.0,0.82,0.96,0.85,0.54,0.67,0.85,1.0,0.64,0.96,0.55,0.78,0.95,0.67,0.87,1.0,0.61,0.64,0.89,0.0
miranda-icq.csv,0.0,0.08,0.09,0.35,0.25,0.43,0.49,0.44,0.12,0.96,0.55,0.85,0.63,0.0,0.3,0.17,0.87,0.45,0.32,0.09
ofbiz.csv,0.0,0.49,0.47,0.28,0.14,0.37,0.18,0.3,0.39,0.62,0.05,0.0,0.38,0.67,1.0,0.83,0.0,0.48,0.74,0.18
opennms.csv,0.0,0.22,0.0,0.06,0.89,0.0,0.21,0.09,0.2,0.21,0.05,0.26,0.26,0.0,0.18,0.17,0.19,0.18,0.11,0.18
papertoolkit.csv,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0
rohxel.csv,1.0,0.76,0.85,0.82,0.75,0.87,1.0,0.86,0.88,0.75,0.65,0.85,0.73,0.67,0.85,0.94,0.48,0.88,0.68,0.91
roolo.csv,1.0,0.45,0.38,0.17,0.43,0.27,0.18,0.27,0.18,0.29,0.95,0.41,0.18,0.67,0.34,0.22,0.16,0.59,0.47,0.18
sevenupdate.csv,1.0,1.0,0.91,0.94,0.61,0.73,0.49,0.6,0.83,0.6,0.3,1.0,0.8,0.67,0.64,0.89,0.16,0.74,0.84,1.0
soar.csv,0.0,0.63,0.26,0.49,0.54,0.67,0.56,0.81,0.79,0.81,0.55,0.37,0.76,0.67,0.78,0.94,0.94,0.56,0.63,0.82
web-cat.csv,0.0,0.1,0.04,0.55,0.32,0.13,0.54,0.33,0.27,0.21,0.35,0.67,0.37,0.33,0.06,0.33,0.9,0.31,1.0,0.27
