,f1,g,recall,precision,pf,wins
brlcad.csv,0.28,0.28,0.24,0.75,0.17,6
delphilhlplib.csv,0.51,0.5,0.46,0.82,0.22,14
exordium.csv,0.46,0.45,0.4,0.71,0.26,9
fltk.csv,0.54,0.61,0.6,0.69,0.35,16
genoviz.csv,0.19,0.13,0.11,0.86,0.04,3
gzigzag.csv,0.38,0.31,0.27,0.64,0.17,7
irrlicht.csv,0.71,0.0,1.0,0.55,1.0,4
kmess.csv,0.25,0.25,0.21,0.49,0.21,1
moast.csv,0.36,0.29,0.39,0.54,0.44,2
mptvseries.csv,0.48,0.4,0.35,0.78,0.19,10
nativeclient.csv,0.63,0.61,0.69,0.65,0.49,16
openfrag.csv,0.64,0.58,0.72,0.68,0.47,18
phet.csv,0.3,0.29,0.34,0.28,0.53,0
qdvdauthor.csv,0.59,0.45,0.64,0.57,0.61,8
qse.csv,0.59,0.56,0.68,0.63,0.62,12
sauerbraten.csv,0.68,0.09,0.97,0.55,0.98,5
toped.csv,0.64,0.53,0.8,0.55,0.69,11
truevision.csv,0.63,0.59,0.58,0.7,0.41,16
zoolib.csv,0.52,0.52,0.47,0.74,0.31,13
