,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,0.92,0.46,0.48,0.95,0.9,0.79,0.89,0.68,0.83,0.73,0.75,0.89,0.44,0.83,0.89,0.9,0.51,0.95,0.47
delphilhlplib.csv,0.79,0.61,0.33,0.67,0.42,0.64,0.92,0.47,0.5,0.65,0.57,0.63,0.43,0.7,0.75,0.58,0.52,0.84,0.6
exordium.csv,0.83,0.43,0.78,0.73,0.29,0.62,0.93,0.61,0.58,0.63,0.91,0.62,0.53,0.69,0.75,0.61,0.77,0.81,0.47
fltk.csv,0.64,0.8,0.69,0.41,0.43,0.7,0.66,0.54,0.47,0.6,0.48,0.64,0.84,0.48,0.54,0.55,0.76,0.65,0.53
genoviz.csv,0.78,0.95,0.76,0.92,0.79,0.65,0.96,0.9,0.88,0.89,0.94,0.89,1.0,0.91,0.8,0.9,0.77,0.85,0.09
gzigzag.csv,0.53,0.76,0.76,0.8,0.69,0.54,0.89,0.75,0.56,0.75,0.49,0.47,0.89,0.73,0.71,0.8,1.09,0.88,0.76
irrlicht.csv,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,0.59,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
kmess.csv,0.87,1.0,0.99,0.65,0.62,0.81,0.93,0.61,0.48,0.74,0.97,0.51,0.95,0.68,0.5,0.49,1.27,1.0,1.06
moast.csv,0.87,1.0,0.96,0.75,0.72,0.91,0.74,0.86,1.0,0.77,1.0,0.84,0.92,0.61,0.85,1.0,0.11,1.0,0.72
mptvseries.csv,0.43,0.81,0.96,0.46,0.49,0.67,0.97,0.41,0.47,0.76,0.26,0.66,0.9,0.65,0.61,0.58,1.0,0.79,0.45
nativeclient.csv,0.55,0.59,0.94,0.56,0.77,0.69,0.77,0.43,0.68,0.59,0.45,0.53,0.55,0.56,0.6,0.59,0.9,0.45,0.72
openfrag.csv,0.75,0.75,0.84,0.67,0.47,0.69,0.88,0.37,0.37,0.58,0.34,0.54,0.72,0.34,0.64,0.61,0.86,0.69,0.84
phet.csv,1.01,0.62,0.75,0.99,0.96,0.75,0.49,0.93,1.07,0.88,1.0,0.98,0.93,1.1,0.87,0.84,1.24,0.83,1.06
qdvdauthor.csv,0.63,0.85,0.97,0.89,0.76,0.74,0.69,0.63,0.43,0.81,1.0,0.68,0.82,0.71,0.43,0.7,0.21,0.9,1.03
qse.csv,0.76,0.66,0.78,0.76,0.56,0.8,0.76,0.5,0.78,0.77,0.26,0.53,0.69,0.67,0.62,0.6,0.9,0.68,0.89
sauerbraten.csv,0.41,0.98,0.81,1.0,0.95,0.75,0.85,1.0,1.0,1.0,1.0,0.96,0.89,1.0,1.0,1.0,0.59,1.0,1.16
toped.csv,0.8,0.83,0.9,0.83,0.81,0.92,0.91,0.62,0.24,0.79,0.9,0.81,0.66,0.67,0.61,0.77,0.59,0.72,0.91
truevision.csv,0.71,0.94,0.58,0.49,0.7,0.59,0.74,0.51,0.62,0.59,0.86,0.35,0.44,0.49,0.68,0.58,0.97,0.8,0.67
zoolib.csv,0.63,0.87,0.65,0.56,0.52,0.67,0.91,0.53,0.51,0.62,0.83,0.56,0.4,0.77,0.71,0.57,0.97,0.91,0.58
