,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,exist.csv,st-filteredstatistics.csv,pokenetonline.csv,java-gnome.csv,avisynth2.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv
adonthell.csv,1.0,0.3,0.74,0.47,0.78,0.85,0.16,0.29,0.27,0.57,0.75,0.84,0.95,0.05,0.9,0.1,0.24,0.63,0.98
autofac.csv,0.98,0.4,1.0,0.79,0.61,0.73,0.45,0.31,0.67,0.64,0.78,0.78,0.53,0.08,0.88,0.12,0.73,0.62,0.98
avisynth2.csv,1.0,0.5,0.91,0.5,0.0,1.0,0.5,0.33,0.67,0.46,1.0,0.8,0.0,0.6,0.87,1.0,0.62,0.0,1.0
dsworkbench.csv,1.0,0.5,0.88,0.83,0.75,1.0,1.0,0.25,0.67,0.4,0.75,0.86,0.0,0.0,0.89,1.0,0.0,0.81,0.96
exist.csv,0.98,0.45,0.76,0.48,0.54,0.76,0.29,0.36,0.42,0.77,0.75,0.72,0.69,0.05,0.89,0.13,0.27,0.65,0.96
forester-atv.csv,0.97,0.62,0.86,0.47,0.0,0.73,0.38,0.75,0.5,0.73,1.0,0.72,0.0,0.17,0.84,0.33,0.43,0.67,0.94
freelords.csv,0.99,0.38,0.78,0.47,0.56,0.79,0.52,0.35,0.44,0.58,0.82,0.74,0.81,0.07,0.83,0.2,0.32,0.63,0.96
gephex.csv,1.0,0.26,0.75,0.47,0.55,0.82,0.36,0.35,0.43,0.54,0.88,0.69,0.78,0.0,0.87,0.1,0.28,0.8,0.97
google-collections.csv,1.0,0.39,0.76,0.47,0.56,0.74,0.29,0.35,0.38,0.57,0.75,0.74,0.78,0.05,0.84,0.12,0.27,0.63,0.96
java-gnome.csv,1.0,0.37,0.79,0.54,0.73,0.81,0.5,0.22,0.75,0.53,0.88,0.74,0.96,0.07,0.83,0.0,0.33,0.81,1.0
jpaul.csv,0.98,0.36,0.77,0.62,0.7,0.77,0.58,0.26,0.42,0.52,0.56,0.67,0.22,0.03,0.88,0.25,0.36,0.74,0.97
neodatis-odb.csv,0.96,0.33,0.93,0.5,0.71,0.72,0.2,0.61,0.55,0.57,0.74,0.64,1.0,0.05,0.84,0.11,0.25,0.66,0.97
octet.csv,1.0,0.34,0.82,0.42,0.93,0.75,0.15,0.48,0.47,0.58,0.87,0.76,0.71,0.06,0.78,0.38,0.6,0.7,0.97
personalaccess.csv,1.0,0.56,0.82,0.6,0.57,0.92,0.39,0.34,0.58,0.83,0.88,0.81,0.0,0.0,0.93,0.33,0.8,0.63,0.96
pokenetonline.csv,1.0,0.43,0.77,0.49,0.58,0.78,0.31,0.36,0.48,0.57,0.76,0.89,0.7,0.03,0.84,0.13,0.36,0.67,0.98
rcp-company-uibindings.csv,1.0,0.43,0.76,0.56,0.49,0.82,0.46,0.28,0.42,0.6,0.87,0.85,0.73,0.07,0.88,0.1,0.33,0.64,1.0
scenemonitor.csv,1.0,0.3,0.78,0.67,0.59,0.81,0.5,0.31,0.71,0.62,0.83,0.61,0.68,0.0,0.87,0.5,0.32,0.64,0.97
servicestack.csv,1.0,0.61,0.74,0.62,0.0,0.57,0.5,0.47,0.5,0.64,0.75,0.94,0.0,0.1,0.88,0.5,0.57,0.0,0.97
st-filteredstatistics.csv,1.0,0.33,0.77,0.46,0.56,0.78,0.25,0.37,0.4,0.56,0.92,0.67,0.79,0.05,0.87,0.09,0.38,0.63,0.96
