,n2cms.csv,nug.csv,codeblocks.csv,bulmages.csv,uclmda.csv,dataobjectsdotnet.csv
bulmages.csv,0.86,0.88,0.5,0.85,0.0,0.91
codeblocks.csv,0.67,0.33,0.44,0.43,0.34,0.62
dataobjectsdotnet.csv,0.61,0.91,0.81,0.94,0.61,0.65
n2cms.csv,0.62,0.75,0.86,0.62,0.67,0.7
nug.csv,0.86,0.76,0.86,0.86,0.54,0.83
uclmda.csv,0.39,0.39,0.41,0.58,0.26,0.43
