,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,raven-monitoring.csv,smbopensoft.csv,xharbour.csv,flylinkdc.csv,reactos-mirror.csv,qpe.csv,xbrlapi.csv,prelude.csv,neoengine.csv,atunes.csv,avifile.csv,lamp.csv,logicmail.csv,wgs-assembler.csv,plearn.csv,werx.csv,plog4u.csv,openwbem.csv,qgo.csv,jaql.csv,kmatplot.csv,pclasses.csv,agilitybook.csv,triplea.csv,raygina.csv,wpdev.csv,owfs.csv,olap-navigator.csv,pokeglobal.csv,nova.csv,sauerbraten.csv,graphmak.csv,jgameai.csv,gpsmid.csv,empyrean.csv,awemud.csv,crisscross.csv,re2c.csv,tzod.csv,octave.csv,adaptagrams.csv,open-media-library.csv,vdsf.csv,alit.csv,orc.csv,lazarus-ccr.csv,n2cms.csv,forester-atv.csv,mob-sen-plat.csv,nh3d.csv,amanda.csv,rectracker.csv,dynalloy.csv,mpqc.csv,thout.csv,benojt.csv,sabbu.csv,unladen-swallow.csv,powerfolder-.csv,barracudamvc.csv,guineu.csv,
adaptagrams.csv,0.75,0.01,0.27,0,0,0,0,0,0,0,0.45,0.11,0,0,1,0.79,0.93,0,0,0.29,0,0,0,0,0,0.48,1,0,0,0,0,1,0,0,1,0.32,0,0,0,0.03,0.98,0,0,0.93,0,0.69,1,0,1,0,0.83,0.83,0,0.92,0.2,0.84,0,0,0,,0,0,,0.35,0,0.14,0,0.1,0,0,0.67,0.01,0,0.59,0.67,0,0,0.05,1,0.29,55
agilitybook.csv,1,0.83,0.88,0.06,0,0,0,0.86,0.71,0.02,1,0.98,0.52,0,1,0.63,0.98,0.5,0.08,1,1,0,0,0,0.02,0.98,1,0.13,0.12,0.32,0.99,1,0,0.05,1,1,0,0.8,0.84,0.95,1,,0.67,1,0,0.92,1,0.83,1,0.83,1,1,0.95,1,1,1,0,0.85,0.08,1,0.59,0.01,,1,0,0.93,0.4,1,0,0,0.96,0.99,0,1,1,0.89,0,0.96,0.95,0.98,26
amanda.csv,0.95,0.97,0.96,0.94,0,0.29,0.55,0.94,0.82,0.75,1,0.85,0.79,0.11,0.92,1,1,0.5,0.4,0.94,0.95,0,0.08,0,0.43,0.98,1,0.53,1,0.85,0.79,1,0.34,0.77,1,0.94,0.27,0.74,0.9,0.99,0.98,0.61,0.76,1,1,1,1,0.69,1,1,1,1,1,1,1,1,0,0.9,0.61,1,0.8,1,,1,0.46,0.99,0.55,1,0,,0.96,0.85,0.05,0.99,1,0.89,0,0.8,1,0.97,11
atunes.csv,1,0.58,0.91,0,0,0,0,0.39,0,0,1,0.61,0.14,0,1,1,0.9,0,0,0.77,0.54,0,0,0,0,1,1,0,,0,0.86,1,0,0,1,0.99,0,0.11,0.24,0.69,1,0,0.14,1,0,1,1,0.24,1,0,1,1,0.24,1,0.97,1,0,0.62,0,1,0.17,0,,1,0,0.53,0.02,1,0,0,1,0.53,0,0.93,1,0.59,0,0.85,1,1,37
avifile.csv,0,0,0,0.08,1,1,0.8,0.02,0.15,0.97,0,0.02,0,1,0,0,0,0,0.63,0,0,1,1,1,0.8,0,0,0.07,0.18,,0,0,0.96,0.17,0,0,1,0.11,0.02,0,0,0.93,0.05,0,0.5,0,0,0.03,0,0.04,0,0,0.08,0,0,0,1,0,0.05,0,0.07,0,,0,1,0.04,0.2,0,1,0.97,0,0.03,1,0,0,0,1,0,0,0,58
awemud.csv,0.6,1,0.86,1,1,1,1,1,1,1,0.24,0.94,1,1,0.08,0.79,0.34,1,1,1,0.98,1,1,1,1,0.57,0,1,1,1,0.68,0.9,1,1,0,0.76,1,1,0.99,0.94,0.02,1,1,0.14,1,0.33,0.44,1,0.05,1,0.76,0.65,1,0.03,,0.11,1,1,1,0.54,1,1,,0.71,1,0.99,1,0,1,1,1,0.95,1,0.91,1,1,1,1,0.5,0.45,11
baadengine.csv,1,1,1,0.99,0,0.09,0.86,0.98,0.89,0.4,1,1,1,0,1,1,1,1,,1,1,0,0.01,0,0.61,1,1,0.96,0.92,1,1,1,0.56,0.94,1,1,0.06,0.91,0.99,1,1,0.47,0.9,1,1,1,1,0.97,1,1,1,1,0.97,1,1,1,0,1,1,1,0.96,1,,1,0.25,0.99,0.88,1,0,0.28,1,0.98,0,1,1,1,0,1,1,1,13
barracudamvc.csv,0.27,0,0,0,0,0,0,0,0,0,1,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,1,0.02,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.94,0,1,0,1,0,0,0,0,0,0,,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,,0,66
benojt.csv,1,1,1,1,0.92,0.93,1,0.99,0.93,1,1,0.98,1,0.9,1,1,1,1,1,0.96,1,0.95,1,0,1,1,1,1,0.87,1,1,1,1,1,1,0.96,1,1,0.99,1,1,1,0.95,1,1,1,1,0.86,1,1,0.98,0.95,1,1,1,1,0.98,1,1,1,1,1,,1,1,0.97,0.92,1,1,1,1,0.96,1,0.98,,1,0,1,1,1,2
crisscross.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.74,0,0,0.04,0,1,0,0,0,0,0.13,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
dynalloy.csv,0.97,0.27,0.77,0,0,0,0,0.08,0,0,1,0.61,0.47,0,0.92,0.94,0.93,0,0,0.38,0.28,0,0,0,0,1,1,0,0,0,0.71,0.95,0,0,1,1,0,0.06,0.21,0.81,1,0,0.1,1,0,1,0.96,0,1,0,0.98,1,0.16,1,0.97,1,0,0.08,0,1,0.11,0,,1,0,0.62,0,0.95,0,0,0.04,,0,0.99,1,0.37,0,0.53,1,0.95,42
elmo.csv,0.03,0,0.04,0,0,0,0,0,0,0,0.08,0.06,0.04,0,0,,0.07,0,0,0.02,0,0,0,0,0,0.02,0.27,0,0,0,0.02,0.2,0,0,0,0.04,0,0,0,0.04,0.07,0,0,0.21,0,0,0.07,0.07,0.59,0,0.11,0.17,0,0,0.07,0,0,0,0,0,0.04,0,,0,0,0,0,0,0,0,0,0.03,0,0.07,0,0.02,0,0,0,0.03,77
empyrean.csv,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0.98,0,0,0.33,0,1,0,0,0.25,0,,0,0.97,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
encog-java.csv,0.69,0.06,0.21,0,0,0,0,,0,0,0.33,0.13,0,0,0.67,0.13,0.37,0,0,0.29,0.03,0,0,0,0,0.45,0.27,0,0,0,0.24,0.3,0,0,1,0.34,0,0,0.02,0.13,0.43,0,0,0.86,0,0.19,0.63,0,0.57,0,0.46,0.33,0.08,0.5,0.27,0.38,0,0.02,0,0.25,0,0,,0.26,0,0.08,0,0.3,0,0,0.07,0.12,0,0.22,0,0.02,0,0.3,0.4,0.47,63
flylinkdc.csv,1,0.8,0.7,0.74,0,0.17,0.37,0.95,0.76,0.29,0.86,0.81,0.42,0.07,1,0.52,0.98,0,0.25,0.98,1,0,,0,0.35,1,0.27,0.61,0.68,0.72,0.79,1,0.37,0.6,1,0.99,0.13,0.63,0.91,0.68,0.73,0.37,0.9,1,0.5,0.75,0.81,0.66,0.66,0.75,0.98,1,0.82,1,0.9,0.9,0,0.67,0.46,1,0.85,0.45,,1,0.46,0.95,0.88,0.6,0,0.28,1,0.9,0.01,0.99,1,0.41,0,0.97,1,1,15
forester-atv.csv,0.61,0.11,0.26,0.01,0,0,0.71,0.39,0.45,0.06,0.47,0.19,0.11,0,0.83,0.36,0.73,0,0,0.62,0.91,0,0,0,0,0.68,0.18,0.01,0.02,0.02,0.73,0.3,0.01,0.05,1,0.5,0,0.26,0.3,0.35,0.43,0,0.29,0.51,0,0.4,0.93,0.41,0.64,0.12,0.63,0.57,0.5,0.63,0.27,0.22,0,0.29,0.17,0.54,0.63,0,,0.71,0,0.65,,0.4,0,0.03,0.63,0.49,0,0.69,0,0.28,0,0.46,0.7,0.81,42
google-collections.csv,1,1,1,0.96,0,0.28,0.82,0.98,0.82,0.92,1,0.96,1,0.21,1,1,1,,1,0.92,0.47,0,0.4,0,0.98,1,1,1,0.96,1,1,1,0.33,1,1,0.97,0.41,1,0.96,1,1,0.78,1,1,1,1,1,0.83,1,1,1,1,0.87,1,1,1,0.02,1,0.91,1,1,1,,0.99,0.29,1,0.85,1,0.11,0.82,1,0.92,0.09,0.99,1,1,0,1,1,1,11
gpsmid.csv,0.99,0.38,0.84,0.06,0,0,0,0.44,0.07,0,1,0.52,0.38,0,1,0.97,0.51,0,0,0.4,0,0,0,0,0,0.92,1,0,0.01,0,0.98,0.55,0,0,1,0.72,0,0.37,0.32,0.55,0.98,0,0.48,1,0,1,1,0.24,1,0.21,0.7,0.87,,1,0.97,1,0,0.94,0.01,0.88,0.43,0,,0.99,0,0.35,0.28,1,0,0,0.3,0.71,0,0.59,1,0.98,0,0.86,1,0.91,35
graphmak.csv,0.59,0.08,0.62,0,0,0,0,0.3,0.09,0,1,0.22,0.45,0,0.5,0.09,0.44,0.5,0.03,0.25,0.01,0,0,0,0,0.42,1,0,0,0.02,0.91,0.1,0,0,1,0.59,0,0.31,0.19,0.28,0.95,0,0,0.98,0,0.42,1,0.41,1,0.21,,0.73,0.74,0.84,0.8,0.7,0,0.4,0.31,0.96,0.11,0,,0.64,0,0.28,0,1,0,0,0,0.67,0,0.39,0.33,0.02,0,0.01,0.3,0.69,48
